┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬────────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd   │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼────────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 11600 │ 11600 │ 11600 │ 11600 │ 300 │ 3480000 │    300    │   300   │ 3480000  │  3480000  │ 1679302800000 │ '2023-03-20T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 33.3 │ 1066.7 │  0  │  9  │  300  │  3480000  │  386666.7  │ 11413333.3 │    300    │    3480000    │   3480000   │      0      │ -0.3  │      │          │     │
│    1    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │    400    │   100   │ 1070000  │  4550000  │ 1679304300000 │ '2023-03-20T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -100  │ -1070000  │  386666.7  │ 11413333.3 │    200    │    2410000    │   3480000   │   1070000   │  0.1  │ 100  │ 1070000  │ 0.1 │
│    2    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   1000    │   600   │ 6420000  │ 10970000  │ 1679307900000 │ '2023-03-20T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -600  │ -6420000  │  386666.7  │ 11413333.3 │   -400    │   -4010000    │   3480000   │   7490000   │  0.6  │ 600  │ 6420000  │ 0.6 │
│    3    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   2600    │  1600   │ 17120000 │ 28090000  │ 1679310900000 │ '2023-03-20T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -1600 │ -17120000 │  386666.7  │ 11413333.3 │   -2000   │   -21130000   │   3480000   │  24610000   │  1.6  │ 1600 │ 17120000 │ 1.5 │
│    4    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   3600    │  1000   │ 10700000 │ 38790000  │ 1679311200000 │ '2023-03-20T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -1000 │ -10700000 │  386666.7  │ 11413333.3 │   -3000   │   -31830000   │   3480000   │  35310000   │   1   │ 1000 │ 10700000 │ 0.9 │
│    5    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   5100    │  1500   │ 16050000 │ 54840000  │ 1679317200000 │ '2023-03-20T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -1500 │ -16050000 │  386666.7  │ 11413333.3 │   -4500   │   -47880000   │   3480000   │  51360000   │  1.5  │ 1500 │ 16050000 │ 1.4 │
│    6    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   6600    │  1500   │ 16050000 │ 70890000  │ 1679319300000 │ '2023-03-20T13:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -1500 │ -16050000 │  386666.7  │ 11413333.3 │   -6000   │   -63930000   │   3480000   │  67410000   │  1.5  │ 1500 │ 16050000 │ 1.4 │
│    7    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   6900    │   300   │ 3210000  │ 74100000  │ 1679320800000 │ '2023-03-20T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -300  │ -3210000  │  386666.7  │ 11413333.3 │   -6300   │   -67140000   │   3480000   │  70620000   │  0.3  │ 300  │ 3210000  │ 0.3 │
│    8    │ 10700 │ 10700 │ 10700 │ 10700 │     │         │   9900    │  3000   │ 32100000 │ 106200000 │ 1679322000000 │ '2023-03-20T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 1066.7 │  0  │     │ -3000 │ -32100000 │  386666.7  │ 11413333.3 │   -9300   │   -99240000   │   3480000   │  102720000  │  2.9  │ 3000 │ 32100000 │ 2.8 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴────────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

