┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 14.6 │ 14.6 │ 14.6 │ 14.6 │ 2000 │ 29200000 │   2000    │  2000   │ 29200000 │ 29200000  │ 1674810300000 │ '2023-01-27T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 909.1 │ 100 │ 181.8 │ 11  │   0   │     0     │ 10700909.1 │  1470000   │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 14.6 │ 14.6 │ 14.6 │ 14.6 │      │          │   2500    │   500   │ 7300000  │ 36500000  │ 1674816300000 │ '2023-01-27T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │  500  │  7300000  │ 10700909.1 │  1470000   │    500    │    7300000    │   7300000   │      0      │  0.8  │ 500  │ 7300000  │ 0.5 │      │          │     │
│    2    │ 14.6 │ 14.6 │ 14.6 │ 14.6 │      │          │   4000    │  1500   │ 21900000 │ 58400000  │ 1674816600000 │ '2023-01-27T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │ 1500  │ 21900000  │ 10700909.1 │  1470000   │   2000    │   29200000    │  29200000   │      0      │  2.4  │ 1500 │ 21900000 │ 1.6 │      │          │     │
│    3    │ 14.7 │ 14.7 │ 14.7 │ 14.7 │      │          │   8600    │  4600   │ 67620000 │ 126020000 │ 1674818100000 │ '2023-01-27T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │ 4600  │ 67620000  │ 10700909.1 │  1470000   │   6600    │   96820000    │  96820000   │      0      │  7.3  │ 4600 │ 67620000 │ 5.1 │      │          │     │
│    4    │  15  │  15  │  15  │  15  │      │          │   9600    │  1000   │  15000   │ 126035000 │ 1674824700000 │ '2023-01-27T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │ 1000  │   15000   │ 10700909.1 │  1470000   │   7600    │   96835000    │  96835000   │      0      │   0   │ 1000 │  15000   │ 1.1 │      │          │     │
│    5    │ 14.7 │ 14.7 │ 14.7 │ 14.7 │      │          │   9700    │   100   │ 1470000  │ 127505000 │ 1674826500000 │ '2023-01-27T13:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 909.1 │ 100 │ 181.8 │     │ -100  │ -1470000  │ 10700909.1 │  1470000   │   7500    │   95365000    │  96835000   │   1470000   │ -0.2  │      │          │     │ 100  │ 1470000  │  1  │
│    6    │ 14.7 │ 14.7 │ 14.7 │ 14.7 │      │          │   10700   │  1000   │ 14700000 │ 142205000 │ 1674826800000 │ '2023-01-27T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 909.1 │ 100 │ 181.8 │     │ -1000 │ -14700000 │ 10700909.1 │  1470000   │   6500    │   80665000    │  96835000   │  16170000   │ -1.6  │      │          │     │ 1000 │ 14700000 │ 10  │
│    7    │  15  │  15  │  15  │  15  │      │          │   10900   │   200   │   3000   │ 142208000 │ 1674828600000 │ '2023-01-27T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │  200  │   3000    │ 10700909.1 │  1470000   │   6700    │   80668000    │  96838000   │  16170000   │   0   │ 200  │   3000   │ 0.2 │      │          │     │
│    8    │ 14.9 │ 14.9 │ 14.9 │ 14.9 │      │          │   11900   │  1000   │ 14900000 │ 157108000 │ 1674828900000 │ '2023-01-27T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │ 1000  │ 14900000  │ 10700909.1 │  1470000   │   7700    │   95568000    │  111738000  │  16170000   │  1.6  │ 1000 │ 14900000 │ 1.1 │      │          │     │
│    9    │ 14.9 │ 14.9 │ 14.9 │ 14.9 │      │          │   12300   │   400   │ 5960000  │ 163068000 │ 1674829200000 │ '2023-01-27T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │  400  │  5960000  │ 10700909.1 │  1470000   │   8100    │   101528000   │  117698000  │  16170000   │  0.6  │ 400  │ 5960000  │ 0.4 │      │          │     │
│   10    │  15  │  15  │  15  │  15  │      │          │   13100   │   800   │  12000   │ 163080000 │ 1674830400000 │ '2023-01-27T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 100 │ 181.8 │     │  800  │   12000   │ 10700909.1 │  1470000   │   8900    │   101540000   │  117710000  │  16170000   │   0   │ 800  │  12000   │ 0.9 │      │          │     │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴─────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

