┌─────────┬───┬───┬───┬───┬─────┬────────┬───────────┬─────────┬──────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬────────┬─────┐
│ (index) │ c │ h │ l │ o │ sd  │ val_sd │ total_vol │ sum_vol │ val  │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu │ rbu │
├─────────┼───┼───┼───┼───┼─────┼────────┼───────────┼─────────┼──────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼────────┼─────┤
│    0    │ 2 │ 2 │ 2 │ 2 │ 600 │  1200  │    600    │   600   │ 1200 │   1200   │ 1674814500000 │ '2023-01-27T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1090.9 │ 54.5 │  0  │ 11  │ -600  │   -1200   │   2181.8   │   109.1    │   -600    │     -1200     │      0      │    1200     │ -0.6  │      │        │     │
│    1    │ 2 │ 2 │ 2 │ 2 │     │        │   2700    │  2100   │ 4200 │   5400   │ 1674814800000 │ '2023-01-27T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │ 2100  │   4200    │   2181.8   │   109.1    │   1500    │     3000      │    4200     │    1200     │   2   │ 2100 │  4200  │ 1.9 │
│    2    │ 2 │ 2 │ 2 │ 2 │     │        │   2800    │   100   │ 200  │   5600   │ 1674815100000 │ '2023-01-27T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │  100  │    200    │   2181.8   │   109.1    │   1600    │     3200      │    4400     │    1200     │  0.1  │ 100  │  200   │ 0.1 │
│    3    │ 2 │ 2 │ 2 │ 2 │     │        │   5300    │  2500   │ 5000 │  10600   │ 1674816300000 │ '2023-01-27T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │ 2500  │   5000    │   2181.8   │   109.1    │   4100    │     8200      │    9400     │    1200     │  2.4  │ 2500 │  5000  │ 2.3 │
│    4    │ 2 │ 2 │ 2 │ 2 │     │        │   6900    │  1600   │ 3200 │  13800   │ 1674817200000 │ '2023-01-27T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │ 1600  │   3200    │   2181.8   │   109.1    │   5700    │     11400     │    12600    │    1200     │  1.5  │ 1600 │  3200  │ 1.5 │
│    5    │ 2 │ 2 │ 2 │ 2 │     │        │   7000    │   100   │ 200  │  14000   │ 1674817500000 │ '2023-01-27T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │  100  │    200    │   2181.8   │   109.1    │   5800    │     11600     │    12800    │    1200     │  0.1  │ 100  │  200   │ 0.1 │
│    6    │ 2 │ 2 │ 2 │ 2 │     │        │   7400    │   400   │ 800  │  14800   │ 1674817800000 │ '2023-01-27T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │  400  │    800    │   2181.8   │   109.1    │   6200    │     12400     │    13600    │    1200     │  0.4  │ 400  │  800   │ 0.4 │
│    7    │ 2 │ 2 │ 2 │ 2 │     │        │   7600    │   200   │ 400  │  15200   │ 1674818100000 │ '2023-01-27T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │  200  │    400    │   2181.8   │   109.1    │   6400    │     12800     │    14000    │    1200     │  0.2  │ 200  │  400   │ 0.2 │
│    8    │ 2 │ 2 │ 2 │ 2 │     │        │   7800    │   200   │ 400  │  15600   │ 1674818400000 │ '2023-01-27T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │  200  │    400    │   2181.8   │   109.1    │   6600    │     13200     │    14400    │    1200     │  0.2  │ 200  │  400   │ 0.2 │
│    9    │ 2 │ 2 │ 2 │ 2 │     │        │   8000    │   200   │ 400  │  16000   │ 1674818700000 │ '2023-01-27T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │  200  │    400    │   2181.8   │   109.1    │   6800    │     13600     │    14800    │    1200     │  0.2  │ 200  │  400   │ 0.2 │
│   10    │ 2 │ 2 │ 2 │ 2 │     │        │   12600   │  4600   │ 9200 │  25200   │ 1674825900000 │ '2023-01-27T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1090.9 │ 54.5 │  0  │     │ 4600  │   9200    │   2181.8   │   109.1    │   11400   │     22800     │    24000    │    1200     │  4.4  │ 4600 │  9200  │ 4.2 │
└─────────┴───┴───┴───┴───┴─────┴────────┴───────────┴─────────┴──────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴────────┴─────┘

