┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ uk  │ val_uk │ ruk │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────┼─────┤
│    0    │ 4800 │ 4800 │ 4800 │ 4800 │ 500 │ 2400000 │    500    │   500   │ 2400000  │ 2400000  │ 1676883600000 │ '2023-02-20T09:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 583.3 │ 41.7 │ 16.7 │ 12  │ -500  │ -2400000  │  2880000   │   200000   │   -500    │   -2400000    │      0      │   2400000   │ -0.9  │      │          │     │     │        │     │
│    1    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   1000    │   500   │ 2450000  │ 4850000  │ 1676885040000 │ '2023-02-20T09:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  500  │  2450000  │  2880000   │   200000   │     0     │     50000     │   2450000   │   2400000   │  0.9  │ 500  │ 2450000  │ 0.9 │     │        │     │
│    2    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   4000    │  3000   │ 14700000 │ 19550000 │ 1676886840000 │ '2023-02-20T09:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │ 3000  │ 14700000  │  2880000   │   200000   │   3000    │   14750000    │  17150000   │   2400000   │  5.5  │ 3000 │ 14700000 │ 5.1 │     │        │     │
│    3    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   4100    │   100   │  490000  │ 20040000 │ 1676889120000 │ '2023-02-20T10:32:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 583.3 │ 41.7 │ 16.7 │     │   0   │     0     │  2880000   │   200000   │   3000    │   14750000    │  17150000   │   2400000   │   0   │      │          │     │ 100 │ 490000 │  6  │
│    4    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   5000    │   900   │ 4410000  │ 24450000 │ 1676891280000 │ '2023-02-20T11:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  900  │  4410000  │  2880000   │   200000   │   3900    │   19160000    │  21560000   │   2400000   │  1.6  │ 900  │ 4410000  │ 1.5 │     │        │     │
│    5    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   5100    │   100   │  490000  │ 24940000 │ 1676892360000 │ '2023-02-20T11:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  100  │  490000   │  2880000   │   200000   │   4000    │   19650000    │  22050000   │   2400000   │  0.2  │ 100  │  490000  │ 0.2 │     │        │     │
│    6    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   5200    │   100   │  500000  │ 25440000 │ 1676900400000 │ '2023-02-20T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  100  │  500000   │  2880000   │   200000   │   4100    │   20150000    │  22550000   │   2400000   │  0.2  │ 100  │  500000  │ 0.2 │     │        │     │
│    7    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   5500    │   300   │ 1500000  │ 26940000 │ 1676901960000 │ '2023-02-20T14:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  300  │  1500000  │  2880000   │   200000   │   4400    │   21650000    │  24050000   │   2400000   │  0.6  │ 300  │ 1500000  │ 0.5 │     │        │     │
│    8    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   5700    │   200   │ 1000000  │ 27940000 │ 1676902800000 │ '2023-02-20T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  200  │  1000000  │  2880000   │   200000   │   4600    │   22650000    │  25050000   │   2400000   │  0.4  │ 200  │ 1000000  │ 0.3 │     │        │     │
│    9    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   7500    │  1800   │ 9000000  │ 36940000 │ 1676903160000 │ '2023-02-20T14:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │ 1800  │  9000000  │  2880000   │   200000   │   6400    │   31650000    │  34050000   │   2400000   │  3.4  │ 1800 │ 9000000  │ 3.1 │     │        │     │
│   10    │ 5100 │ 5100 │ 5100 │ 5100 │     │         │   7600    │   100   │  510000  │ 37450000 │ 1676903280000 │ '2023-02-20T14:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 41.7 │ 16.7 │     │  100  │  510000   │  2880000   │   200000   │   6500    │   32160000    │  34560000   │   2400000   │  0.2  │ 100  │  510000  │ 0.2 │     │        │     │
