┌─────────┬───────────────┬─────────┬─────────┬──────────┬──────────────┬──────────────┬──────────────┬──────────┬──────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬───────────────┬─────────┬───────────┬───────────┬──────────┬──────────────┬───────┐
│ (index) │   datetime    │   sd    │   bu    │    uk    │    val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │ avg_vol │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val │ rbusd │
├─────────┼───────────────┼─────────┼─────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼─────────┼───────────┼───────────┼──────────┼──────────────┼───────┤
│    0    │ 1671700440000 │ 3124200 │ 4582400 │ 2926200  │ 35961295800  │ 57632910100  │ 46245986100  │ 10632800 │ 139840192000 │ '2022-12-22T09:14:00.000Z' │ 139840192000  │ 10632800  │ 1458200  │ 21671614300  │  1458200  │  21671614300  │  57632910100  │  35961295800  │  4582400  │  3124200  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 17.5  │
│    1    │ 1671700560000 │ 1900000 │ 4554300 │  113200  │ 25035318500  │ 67480334200  │  1560022000  │ 6567500  │ 94075674700  │ '2022-12-22T09:16:00.000Z' │ 233915866700  │ 17200300  │ 2654300  │ 42445015700  │  4112500  │  64116630000  │ 125113244300  │  60996614300  │  9136700  │  5024200  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 34.3  │
│    2    │ 1671700680000 │ 2367800 │ 4635200 │  71300   │ 38867802900  │ 52863010100  │  1368931000  │ 7074300  │ 93099744000  │ '2022-12-22T09:18:00.000Z' │ 327015610700  │ 24274600  │ 2267400  │ 13995207200  │  6379900  │  78111837200  │ 177976254400  │  99864417200  │ 13771900  │  7392000  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 11.3  │
│    3    │ 1671700800000 │ 2836100 │ 3019600 │  55900   │ 44472150400  │ 43553580700  │  659782400   │ 5911600  │ 88685513500  │ '2022-12-22T09:20:00.000Z' │ 415701124200  │ 30186200  │  183500  │  -918569700  │  6563400  │  77193267500  │ 221529835100  │ 144336567600  │ 16791500  │ 10228100  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  0.7  │
│    4    │ 1671700920000 │ 3555400 │ 2112800 │  26500   │ 59744112300  │ 28470260000  │  478818200   │ 5694700  │ 88693190500  │ '2022-12-22T09:22:00.000Z' │ 504394314700  │ 35880900  │ -1442600 │ -31273852300 │  5120800  │  45919415200  │ 250000095100  │ 204080679900  │ 18904300  │ 13783500  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 25.2  │
│    5    │ 1671701040000 │ 3866200 │ 1319800 │   6500   │ 50308176300  │ 20478290700  │  108149000   │ 5192500  │ 70894616000  │ '2022-12-22T09:24:00.000Z' │ 575288930700  │ 41073400  │ -2546400 │ -29829885600 │  2574400  │  16089529600  │ 270478385800  │ 254388856200  │ 20224100  │ 17649700  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 24.1  │
│    6    │ 1671701160000 │ 2804800 │ 1075500 │  65000   │ 39525991500  │ 15738331300  │  1843631400  │ 3945300  │ 57107954200  │ '2022-12-22T09:26:00.000Z' │ 632396884900  │ 45018700  │ -1729300 │ -23787660200 │  845100   │  -7698130600  │ 286216717100  │ 293914847700  │ 21299600  │ 20454500  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 19.2  │
│    7    │ 1671701280000 │ 2361600 │ 1530000 │  19500   │ 27816639000  │ 24208952400  │  308370000   │ 3911100  │ 52333961400  │ '2022-12-22T09:28:00.000Z' │ 684730846300  │ 48929800  │ -831600  │ -3607686600  │   13500   │ -11305817200  │ 310425669500  │ 321731486700  │ 22829600  │ 22816100  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  2.9  │
│    8    │ 1671701400000 │ 1915000 │ 1466500 │   7400   │ 32677100400  │ 21998200700  │   91101000   │ 3388900  │ 54766402100  │ '2022-12-22T09:30:00.000Z' │ 739497248400  │ 52318700  │ -448500  │ -10678899700 │  -435000  │ -21984716900  │ 332423870200  │ 354408587100  │ 24296100  │ 24731100  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  8.6  │
│    9    │ 1671701520000 │ 1652600 │ 1289600 │  23200   │ 27074864400  │ 17380640900  │  171201000   │ 2965400  │ 44626706300  │ '2022-12-22T09:32:00.000Z' │ 784123954700  │ 55284100  │ -363000  │ -9694223500  │  -798000  │ -31678940400  │ 349804511100  │ 381483451500  │ 25585700  │ 26383700  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  7.8  │
│   10    │ 1671701640000 │ 1578300 │ 1399800 │  14600   │ 21399548700  │ 20298256300  │  444409000   │ 2992700  │ 42142214000  │ '2022-12-22T09:34:00.000Z' │ 826266168700  │ 58276800  │ -178500  │ -1101292400  │  -976500  │ -32780232800  │ 370102767400  │ 402883000200  │ 26985500  │ 27962000  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  0.9  │
│   11    │ 1671701760000 │ 1728700 │ 1300400 │  19100   │ 23445985300  │ 17845581100  │  225229000   │ 3048200  │ 41516795400  │ '2022-12-22T09:36:00.000Z' │ 867782964100  │ 61325000  │ -428300  │ -5600404200  │ -1404800  │ -38380637000  │ 387948348500  │ 426328985500  │ 28285900  │ 29690700  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  4.5  │
│   12    │ 1671701880000 │ 1497400 │ 1645200 │  12500   │ 20445722700  │ 22272464600  │   84839000   │ 3155100  │ 42803026300  │ '2022-12-22T09:38:00.000Z' │ 910585990400  │ 64480100  │  147800  │  1826741900  │ -1257000  │ -36553895100  │ 410220813100  │ 446774708200  │ 29931100  │ 31188100  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  1.5  │
│   13    │ 1671702000000 │ 1701500 │ 1030800 │  14800   │ 24217750000  │ 13404381200  │   75345000   │ 2747100  │ 37697476200  │ '2022-12-22T09:40:00.000Z' │ 948283466600  │ 67227200  │ -670700  │ -10813368800 │ -1927700  │ -47367263900  │ 423625194300  │ 470992458200  │ 30961900  │ 32889600  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  8.7  │
│   14    │ 1671702120000 │ 1431000 │ 1583500 │   3200   │ 21761050700  │ 26286645300  │   69203000   │ 3017700  │ 48116899000  │ '2022-12-22T09:42:00.000Z' │ 996400365600  │ 70244900  │  152500  │  4525594600  │ -1775200  │ -42841669300  │ 449911839600  │ 492753508900  │ 32545400  │ 34320600  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  3.7  │
│   15    │ 1671702240000 │ 1360200 │ 1621900 │   5700   │ 22027406800  │ 25317198300  │  127416000   │ 2987800  │ 47472021100  │ '2022-12-22T09:44:00.000Z' │ 1043872386700 │ 73232700  │  261700  │  3289791500  │ -1513500  │ -39551877800  │ 475229037900  │ 514780915700  │ 34167300  │ 35680800  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  2.7  │
│   16    │ 1671702360000 │ 1195800 │ 2577500 │   2800   │ 19750741200  │ 38012922500  │   80271000   │ 3776100  │ 57843934700  │ '2022-12-22T09:46:00.000Z' │ 1101716321400 │ 77008800  │ 1381700  │ 18262181300  │  -131800  │ -21289696500  │ 513241960400  │ 534531656900  │ 36744800  │ 36876600  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 14.7  │
│   17    │ 1671702480000 │ 1408800 │ 5166800 │  154400  │ 18617965700  │ 87327291100  │  2540694600  │ 6730000  │ 108485951400 │ '2022-12-22T09:48:00.000Z' │ 1210202272800 │ 83738800  │ 3758000  │ 68709325400  │  3626200  │  47419628900  │ 600569251500  │ 553149622600  │ 41911600  │ 38285400  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 55.4  │
│   18    │ 1671702600000 │ 1024200 │ 3379600 │   2300   │ 16087792000  │ 54449079500  │   65155000   │ 4406100  │ 70602026500  │ '2022-12-22T09:50:00.000Z' │ 1280804299300 │ 88144900  │ 2355400  │ 38361287500  │  5981600  │  85780916400  │ 655018331000  │ 569237414600  │ 45291200  │ 39309600  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  31   │
│   19    │ 1671702720000 │ 1676500 │ 2958400 │   4900   │ 28117791800  │ 41785581300  │   51707100   │ 4639800  │ 69955080200  │ '2022-12-22T09:52:00.000Z' │ 1350759379500 │ 92784700  │ 1281900  │ 13667789500  │  7263500  │  99448705900  │ 696803912300  │ 597355206400  │ 48249600  │ 40986100  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │  11   │
│   20    │ 1671702840000 │ 1212500 │ 2400900 │  11000   │ 17031473500  │ 36513926100  │  104606100   │ 3624400  │ 53650005700  │ '2022-12-22T09:54:00.000Z' │ 1404409385200 │ 96409100  │ 1188400  │ 19482452600  │  8451900  │ 118931158500  │ 733317838400  │ 614386679900  │ 50650500  │ 42198600  │ 30136939332.8 │ 28897728134.5 │ 62900544650.4 │ 4243795 │ 2013701.7 │ 1980736.1 │ 32965.5  │ 1239211198.3 │ 15.7  │
├─────────┼───────────────┼─────────┼─────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼─────────┼───────────┼───────────┼──────────┼──────────────┼───────┤
│ (index) │   datetime    │   sd    │   bu    │    uk    │    val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │ avg_vol │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val │ rbusd │
