┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 3000 │ 3000 │ 3000 │ 3000 │ 700 │ 2100000 │    700    │   700   │ 2100000  │ 2100000  │ 1677837300000 │ '2023-03-03T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 2288.9 │ 77.8 │  0  │  9  │ -700  │ -2100000  │ 6866666.7  │  233333.3  │   -700    │   -2100000    │      0      │   2100000   │ -0.3  │      │          │     │
│    1    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   3500    │  2800   │ 8400000  │ 10500000 │ 1677840000000 │ '2023-03-03T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │ 2800  │  8400000  │ 6866666.7  │  233333.3  │   2100    │    6300000    │   8400000   │   2100000   │  1.3  │ 2800 │ 8400000  │ 1.2 │
│    2    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   4000    │   500   │ 1500000  │ 12000000 │ 1677840300000 │ '2023-03-03T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │  500  │  1500000  │ 6866666.7  │  233333.3  │   2600    │    7800000    │   9900000   │   2100000   │  0.2  │ 500  │ 1500000  │ 0.2 │
│    3    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   4100    │   100   │  300000  │ 12300000 │ 1677841200000 │ '2023-03-03T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │  100  │  300000   │ 6866666.7  │  233333.3  │   2700    │    8100000    │  10200000   │   2100000   │   0   │ 100  │  300000  │  0  │
│    4    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   6500    │  2400   │ 7200000  │ 19500000 │ 1677848400000 │ '2023-03-03T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │ 2400  │  7200000  │ 6866666.7  │  233333.3  │   5100    │   15300000    │  17400000   │   2100000   │  1.1  │ 2400 │ 7200000  │  1  │
│    5    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   9500    │  3000   │ 9000000  │ 28500000 │ 1677848700000 │ '2023-03-03T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │ 3000  │  9000000  │ 6866666.7  │  233333.3  │   8100    │   24300000    │  26400000   │   2100000   │  1.4  │ 3000 │ 9000000  │ 1.3 │
│    6    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   13500   │  4000   │ 12000000 │ 40500000 │ 1677852300000 │ '2023-03-03T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │ 4000  │ 12000000  │ 6866666.7  │  233333.3  │   12100   │   36300000    │  38400000   │   2100000   │  1.8  │ 4000 │ 12000000 │ 1.7 │
│    7    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   19100   │  5600   │ 16800000 │ 57300000 │ 1677853500000 │ '2023-03-03T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │ 5600  │ 16800000  │ 6866666.7  │  233333.3  │   17700   │   53100000    │  55200000   │   2100000   │  2.5  │ 5600 │ 16800000 │ 2.4 │
│    8    │ 3000 │ 3000 │ 3000 │ 3000 │     │         │   21300   │  2200   │ 6600000  │ 63900000 │ 1677854100000 │ '2023-03-03T14:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2288.9 │ 77.8 │  0  │     │ 2200  │  6600000  │ 6866666.7  │  233333.3  │   19900   │   59700000    │  61800000   │   2100000   │   1   │ 2200 │ 6600000  │  1  │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

