┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ uk  │ val_uk │ ruk │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────┼─────┤
│    0    │ 5600 │ 5600 │ 5600 │ 5600 │ 300 │ 1680000 │    300    │   300   │ 1680000  │  1680000  │ 1677835200000 │ '2023-03-03T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1775 │ 41.7 │ 8.3 │ 7.2 │ -300  │ -1680000  │ 9856666.7  │  233333.3  │   -300    │   -1680000    │      0      │   1680000   │ -0.2  │      │          │     │     │        │     │
│    1    │ 5600 │ 5600 │ 5600 │ 5600 │     │         │   2300    │  2000   │ 11200000 │ 12880000  │ 1677835500000 │ '2023-03-03T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │ 2000  │ 11200000  │ 9856666.7  │  233333.3  │   1700    │    9520000    │  11200000   │   1680000   │  1.2  │ 2000 │ 11200000 │ 1.1 │     │        │     │
│    2    │ 5600 │ 5600 │ 5600 │ 5600 │     │         │   2400    │   100   │  560000  │ 13440000  │ 1677835800000 │ '2023-03-03T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │  100  │  560000   │ 9856666.7  │  233333.3  │   1800    │   10080000    │  11760000   │   1680000   │  0.1  │ 100  │  560000  │ 0.1 │     │        │     │
│    3    │ 5600 │ 5600 │ 5600 │ 5600 │     │         │   9300    │  6900   │ 38640000 │ 52080000  │ 1677836700000 │ '2023-03-03T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │ 6900  │ 38640000  │ 9856666.7  │  233333.3  │   8700    │   48720000    │  50400000   │   1680000   │   4   │ 6900 │ 38640000 │ 3.9 │     │        │     │
│    4    │ 5600 │ 5600 │ 5600 │ 5600 │     │         │   9800    │   500   │ 2800000  │ 54880000  │ 1677837000000 │ '2023-03-03T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │  500  │  2800000  │ 9856666.7  │  233333.3  │   9200    │   51520000    │  53200000   │   1680000   │  0.3  │ 500  │ 2800000  │ 0.3 │     │        │     │
│    5    │ 5600 │ 5600 │ 5600 │ 5600 │ 200 │ 1120000 │   10000   │   200   │ 1120000  │ 56000000  │ 1677842400000 │ '2023-03-03T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1775 │ 41.7 │ 8.3 │ 4.8 │ -200  │ -1120000  │ 9856666.7  │  233333.3  │   9000    │   50400000    │  53200000   │   2800000   │ -0.1  │      │          │     │     │        │     │
│    6    │ 5600 │ 5600 │ 5600 │ 5600 │     │         │   11800   │  1800   │ 10080000 │ 66080000  │ 1677848400000 │ '2023-03-03T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │ 1800  │ 10080000  │ 9856666.7  │  233333.3  │   10800   │   60480000    │  63280000   │   2800000   │   1   │ 1800 │ 10080000 │  1  │     │        │     │
│    7    │ 5500 │ 5500 │ 5500 │ 5500 │     │         │   14100   │  2300   │ 12650000 │ 78730000  │ 1677849900000 │ '2023-03-03T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │ 2300  │ 12650000  │ 9856666.7  │  233333.3  │   13100   │   73130000    │  75930000   │   2800000   │  1.3  │ 2300 │ 12650000 │ 1.3 │     │        │     │
│    8    │ 5500 │ 5500 │ 5500 │ 5500 │     │         │   19400   │  5300   │ 29150000 │ 107880000 │ 1677850200000 │ '2023-03-03T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │ 5300  │ 29150000  │ 9856666.7  │  233333.3  │   18400   │   102280000   │  105080000  │   2800000   │   3   │ 5300 │ 29150000 │  3  │     │        │     │
│    9    │ 5500 │ 5500 │ 5500 │ 5500 │     │         │   21400   │  2000   │ 11000000 │ 118880000 │ 1677850500000 │ '2023-03-03T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │ 2000  │ 11000000  │ 9856666.7  │  233333.3  │   20400   │   113280000   │  116080000  │   2800000   │  1.1  │ 2000 │ 11000000 │ 1.1 │     │        │     │
│   10    │ 5500 │ 5500 │ 5500 │ 5500 │     │         │   21800   │   400   │ 2200000  │ 121080000 │ 1677850800000 │ '2023-03-03T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1775 │ 41.7 │ 8.3 │     │  400  │  2200000  │ 9856666.7  │  233333.3  │   20800   │   115480000   │  118280000  │   2800000   │  0.2  │ 400  │ 2200000  │ 0.2 │     │        │     │
│   11    │ 5600 │ 5600 │ 5600 │ 5600 │     │         │   21900   │   100   │  560000  │ 121640000 │ 1677854700000 │ '2023-03-03T14:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1775 │ 41.7 │ 8.3 │     │   0   │     0     │ 9856666.7  │  233333.3  │   20800   │   115480000   │  118280000  │   2800000   │   0   │      │          │     │ 100 │ 560000 │ 12  │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴────────┴─────┘

