┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬────────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬──────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │  auk   │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk   │  val_uk  │ ruk  │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼────────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼──────┼──────┼──────────┼─────┤
│    0    │ 6000 │ 6000 │ 6000 │ 6000 │ 1200 │ 7200000  │   1200    │  1200   │ 7200000  │  7200000  │ 1677838500000 │ '2023-03-03T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 350 │ 1500 │ 1091.7 │ 3.4 │ 1200  │  7200000  │  2200000   │ 9409166.7  │   1200    │    7200000    │   7200000   │      0      │  -1   │       │          │      │      │          │     │
│    1    │ 6000 │ 6000 │ 6000 │ 6000 │      │          │   2000    │   800   │ 4800000  │ 12000000  │ 1677838800000 │ '2023-03-03T10:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 350 │ 1500 │ 1091.7 │     │   0   │     0     │  2200000   │ 9409166.7  │   1200    │    7200000    │   7200000   │      0      │  -0   │  800  │ 4800000  │ 0.7  │      │          │     │
│    2    │ 6000 │ 6000 │ 6000 │ 6000 │      │          │   2700    │   700   │ 4200000  │ 16200000  │ 1677839100000 │ '2023-03-03T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -700  │ -4200000  │  2200000   │ 9409166.7  │    500    │    3000000    │   7200000   │   4200000   │  0.6  │       │          │      │ 700  │ 4200000  │ 0.5 │
│    3    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   6300    │  3600   │ 23040000 │ 39240000  │ 1677848400000 │ '2023-03-03T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -3600 │ -23040000 │  2200000   │ 9409166.7  │   -3100   │   -20040000   │   7200000   │  27240000   │  3.2  │       │          │      │ 3600 │ 23040000 │ 2.4 │
│    4    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   6600    │   300   │ 1920000  │ 41160000  │ 1677849000000 │ '2023-03-03T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -300  │ -1920000  │  2200000   │ 9409166.7  │   -3400   │   -21960000   │   7200000   │  29160000   │  0.3  │       │          │      │ 300  │ 1920000  │ 0.2 │
│    5    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   8100    │  1500   │ 9600000  │ 50760000  │ 1677849300000 │ '2023-03-03T13:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -1500 │ -9600000  │  2200000   │ 9409166.7  │   -4900   │   -31560000   │   7200000   │  38760000   │  1.3  │       │          │      │ 1500 │ 9600000  │  1  │
│    6    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   10100   │  2000   │ 12800000 │ 63560000  │ 1677849600000 │ '2023-03-03T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -2000 │ -12800000 │  2200000   │ 9409166.7  │   -6900   │   -44360000   │   7200000   │  51560000   │  1.8  │       │          │      │ 2000 │ 12800000 │ 1.3 │
│    7    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   12800   │  2700   │ 17280000 │ 80840000  │ 1677849900000 │ '2023-03-03T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -2700 │ -17280000 │  2200000   │ 9409166.7  │   -9600   │   -61640000   │   7200000   │  68840000   │  2.4  │       │          │      │ 2700 │ 17280000 │ 1.8 │
│    8    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   25100   │  12300  │ 78720000 │ 159560000 │ 1677850200000 │ '2023-03-03T13:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 350 │ 1500 │ 1091.7 │     │   0   │     0     │  2200000   │ 9409166.7  │   -9600   │   -61640000   │   7200000   │  68840000   │  -0   │ 12300 │ 78720000 │ 11.3 │      │          │     │
│    9    │ 6400 │ 6400 │ 6400 │ 6400 │      │          │   25600   │   500   │ 3200000  │ 162760000 │ 1677850800000 │ '2023-03-03T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -500  │ -3200000  │  2200000   │ 9409166.7  │  -10100   │   -64840000   │   7200000   │  72040000   │  0.4  │       │          │      │ 500  │ 3200000  │ 0.3 │
│   10    │ 6100 │ 6100 │ 6100 │ 6100 │      │          │   32300   │  6700   │ 40870000 │ 203630000 │ 1677852000000 │ '2023-03-03T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 350 │ 1500 │ 1091.7 │     │ -6700 │ -40870000 │  2200000   │ 9409166.7  │  -16800   │  -105710000   │   7200000   │  112910000  │  5.7  │       │          │      │ 6700 │ 40870000 │ 4.5 │
│   11    │ 6400 │ 6400 │ 6400 │ 6400 │ 3000 │ 19200000 │   35300   │  3000   │ 19200000 │ 222830000 │ 1677853500000 │ '2023-03-03T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 350 │ 1500 │ 1091.7 │ 8.6 │ 3000  │ 19200000  │  2200000   │ 9409166.7  │  -13800   │   -86510000   │  26400000   │  112910000  │ -2.7  │       │          │      │      │          │     │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴────────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴──────────┴──────┴──────┴──────────┴─────┘

