┌─────────┬──────┬────────┬─────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │ change │ pct │  h   │  l   │  o   │ sd  │ val_sd │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼────────┼─────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │ 100 │ 230000 │    100    │   100   │  230000  │  230000  │ 1679563500000 │ '2023-03-23T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1875 │ 8.3 │  0  │ 12  │ -100  │  -230000  │  4312500   │  19166.7   │   -100    │    -230000    │      0      │   230000    │ -0.1  │      │          │     │
│    1    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   9800    │  9700   │ 22310000 │ 22540000 │ 1679565300000 │ '2023-03-23T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │ 9700  │ 22310000  │  4312500   │  19166.7   │   9600    │   22080000    │  22310000   │   230000    │  5.2  │ 9700 │ 22310000 │ 5.2 │
│    2    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   10400   │   600   │ 1380000  │ 23920000 │ 1679565600000 │ '2023-03-23T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │  600  │  1380000  │  4312500   │  19166.7   │   10200   │   23460000    │  23690000   │   230000    │  0.3  │ 600  │ 1380000  │ 0.3 │
│    3    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   10500   │   100   │  230000  │ 24150000 │ 1679565900000 │ '2023-03-23T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │  100  │  230000   │  4312500   │  19166.7   │   10300   │   23690000    │  23920000   │   230000    │  0.1  │ 100  │  230000  │ 0.1 │
│    4    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   11800   │  1300   │ 2990000  │ 27140000 │ 1679567100000 │ '2023-03-23T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │ 1300  │  2990000  │  4312500   │  19166.7   │   11600   │   26680000    │  26910000   │   230000    │  0.7  │ 1300 │ 2990000  │ 0.7 │
│    5    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   11900   │   100   │  230000  │ 27370000 │ 1679570700000 │ '2023-03-23T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │  100  │  230000   │  4312500   │  19166.7   │   11700   │   26910000    │  27140000   │   230000    │  0.1  │ 100  │  230000  │ 0.1 │
│    6    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   12900   │  1000   │ 2300000  │ 29670000 │ 1679576400000 │ '2023-03-23T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │ 1000  │  2300000  │  4312500   │  19166.7   │   12700   │   29210000    │  29440000   │   230000    │  0.5  │ 1000 │ 2300000  │ 0.5 │
│    7    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   13400   │   500   │ 1150000  │ 30820000 │ 1679578800000 │ '2023-03-23T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │  500  │  1150000  │  4312500   │  19166.7   │   13200   │   30360000    │  30590000   │   230000    │  0.3  │ 500  │ 1150000  │ 0.3 │
│    8    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   13600   │   200   │  460000  │ 31280000 │ 1679581800000 │ '2023-03-23T14:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │  200  │  460000   │  4312500   │  19166.7   │   13400   │   30820000    │  31050000   │   230000    │  0.1  │ 200  │  460000  │ 0.1 │
│    9    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   18600   │  5000   │ 11500000 │ 42780000 │ 1679582700000 │ '2023-03-23T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │ 5000  │ 11500000  │  4312500   │  19166.7   │   18400   │   42320000    │  42550000   │   230000    │  2.7  │ 5000 │ 11500000 │ 2.7 │
│   10    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   20600   │  2000   │ 4600000  │ 47380000 │ 1679583000000 │ '2023-03-23T14:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │ 2000  │  4600000  │  4312500   │  19166.7   │   20400   │   46920000    │  47150000   │   230000    │  1.1  │ 2000 │ 4600000  │ 1.1 │
│   11    │ 2300 │   0    │  0  │ 2300 │ 2300 │ 2300 │     │        │   22600   │  2000   │ 4600000  │ 51980000 │ 1679583300000 │ '2023-03-23T14:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1875 │ 8.3 │  0  │     │ 2000  │  4600000  │  4312500   │  19166.7   │   22400   │   51520000    │  51750000   │   230000    │  1.1  │ 2000 │ 4600000  │ 1.1 │
└─────────┴──────┴────────┴─────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

