┌─────────┬───────┬────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │ change │  pct  │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼───────┼────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 10350 │  -50   │ -0.49 │ 10350 │ 10350 │ 10350 │ 1000 │ 10350000 │   1000    │  1000   │ 10350000 │ 10350000  │ 1679562900000 │ '2023-03-23T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 60  │ 900 │ 100 │ 10  │   0   │     0     │   619500   │  9245000   │     0     │       0       │      0      │      0      │  -0   │      │          │     │     │         │     │
│    1    │ 10300 │  -100  │ -0.97 │ 10300 │ 10300 │ 10300 │      │          │   1500    │   500   │ 5150000  │ 15500000  │ 1679563800000 │ '2023-03-23T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 60  │ 900 │ 100 │     │ -500  │ -5150000  │   619500   │  9245000   │   -500    │   -5150000    │      0      │   5150000   │  0.6  │ 500  │ 5150000  │ 0.6 │     │         │     │
│    2    │ 10300 │  -100  │ -0.97 │ 10300 │ 10300 │ 10300 │      │          │   4500    │  3000   │ 30900000 │ 46400000  │ 1679564100000 │ '2023-03-23T09:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 60  │ 900 │ 100 │     │ -3000 │ -30900000 │   619500   │  9245000   │   -3500   │   -36050000   │      0      │  36050000   │  3.6  │ 3000 │ 30900000 │ 3.3 │     │         │     │
│    3    │ 10300 │  -100  │ -0.97 │ 10300 │ 10300 │ 10300 │      │          │   5000    │   500   │ 5150000  │ 51550000  │ 1679568300000 │ '2023-03-23T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 60  │ 900 │ 100 │     │ -500  │ -5150000  │   619500   │  9245000   │   -4000   │   -41200000   │      0      │  41200000   │  0.6  │ 500  │ 5150000  │ 0.6 │     │         │     │
│    4    │ 10300 │  -100  │ -0.97 │ 10300 │ 10300 │ 10300 │      │          │   5100    │   100   │ 1030000  │ 52580000  │ 1679577600000 │ '2023-03-23T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 60  │ 900 │ 100 │     │  100  │  1030000  │   619500   │  9245000   │   -3900   │   -40170000   │   1030000   │  41200000   │ -0.1  │      │          │     │ 100 │ 1030000 │ 1.7 │
│    5    │ 10250 │  -150  │ -1.45 │ 10250 │ 10250 │ 10250 │      │          │   6100    │  1000   │ 10250000 │ 62830000  │ 1679578800000 │ '2023-03-23T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 60  │ 900 │ 100 │     │ -1000 │ -10250000 │   619500   │  9245000   │   -4900   │   -50420000   │   1030000   │  51450000   │  1.2  │ 1000 │ 10250000 │ 1.1 │     │         │     │
│    6    │ 10250 │  -150  │ -1.45 │ 10250 │ 10250 │ 10250 │      │          │   8100    │  2000   │ 20500000 │ 83330000  │ 1679579100000 │ '2023-03-23T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 60  │ 900 │ 100 │     │ -2000 │ -20500000 │   619500   │  9245000   │   -6900   │   -70920000   │   1030000   │  71950000   │  2.4  │ 2000 │ 20500000 │ 2.2 │     │         │     │
│    7    │ 10300 │  -100  │ -0.97 │ 10300 │ 10300 │ 10300 │      │          │   8300    │   200   │ 2060000  │ 85390000  │ 1679579400000 │ '2023-03-23T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 60  │ 900 │ 100 │     │  200  │  2060000  │   619500   │  9245000   │   -6700   │   -68860000   │   3090000   │  71950000   │ -0.2  │      │          │     │ 200 │ 2060000 │ 3.3 │
│    8    │ 10250 │  -150  │ -1.45 │ 10250 │ 10250 │ 10250 │      │          │   10300   │  2000   │ 20500000 │ 105890000 │ 1679580000000 │ '2023-03-23T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 60  │ 900 │ 100 │     │ -2000 │ -20500000 │   619500   │  9245000   │   -8700   │   -89360000   │   3090000   │  92450000   │  2.4  │ 2000 │ 20500000 │ 2.2 │     │         │     │
│    9    │ 10350 │  -50   │ -0.49 │ 10350 │ 10350 │ 10350 │      │          │   10600   │   300   │ 3105000  │ 108995000 │ 1679582700000 │ '2023-03-23T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 60  │ 900 │ 100 │     │  300  │  3105000  │   619500   │  9245000   │   -8400   │   -86255000   │   6195000   │  92450000   │ -0.4  │      │          │     │ 300 │ 3105000 │  5  │
└─────────┴───────┴────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘
