┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬───────┬───────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu   │  val_bu   │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼───────┼───────────┼─────┤
│    0    │ 23400 │ 23400 │ 23400 │ 23400 │ 1000 │ 23400000 │   1000    │  1000   │ 23400000  │ 23400000  │ 1677488400000 │ '2023-02-27T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1812.5 │ 250 │ 62.5 │ 16  │   0   │     0     │  42768750  │  5863750   │     0     │       0       │      0      │      0      │   0   │      │          │     │       │           │     │
│    1    │ 23400 │ 23400 │ 23400 │ 23400 │      │          │   3000    │  2000   │ 46800000  │ 70200000  │ 1677489600000 │ '2023-02-27T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1812.5 │ 250 │ 62.5 │     │ -2000 │ -46800000 │  42768750  │  5863750   │   -2000   │   -46800000   │      0      │  46800000   │ -1.3  │ 2000 │ 46800000 │  8  │       │           │     │
│    2    │ 23400 │ 23400 │ 23400 │ 23400 │      │          │   3900    │   900   │ 21060000  │ 91260000  │ 1677489900000 │ '2023-02-27T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1812.5 │ 250 │ 62.5 │     │ -900  │ -21060000 │  42768750  │  5863750   │   -2900   │   -67860000   │      0      │  67860000   │ -0.6  │ 900  │ 21060000 │ 3.6 │       │           │     │
│    3    │ 23500 │ 23500 │ 23500 │ 23500 │      │          │   4900    │  1000   │ 23500000  │ 114760000 │ 1677491100000 │ '2023-02-27T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1812.5 │ 250 │ 62.5 │     │ 1000  │ 23500000  │  42768750  │  5863750   │   -1900   │   -44360000   │  23500000   │  67860000   │  0.6  │      │          │     │ 1000  │ 23500000  │ 0.6 │
│    4    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   7400    │  2500   │ 59000000  │ 173760000 │ 1677491400000 │ '2023-02-27T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1812.5 │ 250 │ 62.5 │     │ 2500  │ 59000000  │  42768750  │  5863750   │    600    │   14640000    │  82500000   │  67860000   │  1.6  │      │          │     │ 2500  │ 59000000  │ 1.4 │
│    5    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   8400    │  1000   │ 23600000  │ 197360000 │ 1677492000000 │ '2023-02-27T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1812.5 │ 250 │ 62.5 │     │ 1000  │ 23600000  │  42768750  │  5863750   │   1600    │   38240000    │  106100000  │  67860000   │  0.6  │      │          │     │ 1000  │ 23600000  │ 0.6 │
│    6    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   9900    │  1500   │ 35400000  │ 232760000 │ 1677496200000 │ '2023-02-27T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1812.5 │ 250 │ 62.5 │     │ 1500  │ 35400000  │  42768750  │  5863750   │   3100    │   73640000    │  141500000  │  67860000   │   1   │      │          │     │ 1500  │ 35400000  │ 0.8 │
│    7    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   11900   │  2000   │ 47200000  │ 279960000 │ 1677503100000 │ '2023-02-27T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1812.5 │ 250 │ 62.5 │     │ 2000  │ 47200000  │  42768750  │  5863750   │   5100    │   120840000   │  188700000  │  67860000   │  1.3  │      │          │     │ 2000  │ 47200000  │ 1.1 │
│    8    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   26700   │  14800  │ 349280000 │ 629240000 │ 1677504900000 │ '2023-02-27T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1812.5 │ 250 │ 62.5 │     │ 14800 │ 349280000 │  42768750  │  5863750   │   19900   │   470120000   │  537980000  │  67860000   │  9.5  │      │          │     │ 14800 │ 349280000 │ 8.2 │
│    9    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   27600   │   900   │ 21240000  │ 650480000 │ 1677505500000 │ '2023-02-27T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1812.5 │ 250 │ 62.5 │     │ -900  │ -21240000 │  42768750  │  5863750   │   19000   │   448880000   │  537980000  │  89100000   │ -0.6  │ 900  │ 21240000 │ 3.6 │       │           │     │
│   10    │ 23600 │ 23600 │ 23600 │ 23600 │      │          │   27700   │   100   │  2360000  │ 652840000 │ 1677506400000 │ '2023-02-27T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1812.5 │ 250 │ 62.5 │     │ -100  │ -2360000  │  42768750  │  5863750   │   18900   │   446520000   │  537980000  │  91460000   │ -0.1  │ 100  │ 2360000  │ 0.4 │       │           │     │
