┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬─────┬─────┬───────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┬─────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk │ ruk │ bu-sd │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd   │ rsd │ bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼─────┼─────┼───────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┼─────┼──────────┼─────┤
│    0    │ 57300 │ 57300 │ 57300 │ 57300 │ 100 │ 5730000 │    100    │   100   │  5730000  │  5730000  │ 1677489300000 │ '2023-02-27T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 72.7 │ 518.2 │ 9.1 │ 11  │   0   │     0      │ 4135454.5  │ 29413636.4 │     0     │       0       │      0      │      0      │  -0   │      │           │     │     │          │     │
│    1    │ 56800 │ 56800 │ 56800 │ 56800 │     │         │   1100    │  1000   │ 56800000  │ 62530000  │ 1677489600000 │ '2023-02-27T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -1000 │ -56800000  │ 4135454.5  │ 29413636.4 │   -1000   │   -56800000   │      0      │  56800000   │  2.2  │ 1000 │ 56800000  │ 1.9 │     │          │     │
│    2    │ 56800 │ 56800 │ 56800 │ 56800 │     │         │   3100    │  2000   │ 113600000 │ 176130000 │ 1677489900000 │ '2023-02-27T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -2000 │ -113600000 │ 4135454.5  │ 29413636.4 │   -3000   │  -170400000   │      0      │  170400000  │  4.5  │ 2000 │ 113600000 │ 3.9 │     │          │     │
│    3    │ 56800 │ 56800 │ 56800 │ 56800 │     │         │   4000    │   900   │ 51120000  │ 227250000 │ 1677491700000 │ '2023-02-27T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -900  │ -51120000  │ 4135454.5  │ 29413636.4 │   -3900   │  -221520000   │      0      │  221520000  │   2   │ 900  │ 51120000  │ 1.7 │     │          │     │
│    4    │ 56800 │ 56800 │ 56800 │ 56800 │     │         │   4200    │   200   │ 11360000  │ 238610000 │ 1677492000000 │ '2023-02-27T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -200  │ -11360000  │ 4135454.5  │ 29413636.4 │   -4100   │  -232880000   │      0      │  232880000  │  0.4  │ 200  │ 11360000  │ 0.4 │     │          │     │
│    5    │ 56800 │ 56800 │ 56800 │ 56800 │     │         │   5100    │   900   │ 51120000  │ 289730000 │ 1677492300000 │ '2023-02-27T10:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -900  │ -51120000  │ 4135454.5  │ 29413636.4 │   -5000   │  -284000000   │      0      │  284000000  │   2   │ 900  │ 51120000  │ 1.7 │     │          │     │
│    6    │ 57000 │ 57000 │ 56900 │ 56900 │     │         │   5700    │   600   │ 34150000  │ 323880000 │ 1677494400000 │ '2023-02-27T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 72.7 │ 518.2 │ 9.1 │     │  600  │  34150000  │ 4135454.5  │ 29413636.4 │   -4400   │  -249850000   │  34150000   │  284000000  │ -1.4  │      │           │     │ 600 │ 34150000 │ 8.3 │
│    7    │ 56500 │ 56500 │ 56500 │ 56500 │     │         │   6000    │   300   │ 16950000  │ 340830000 │ 1677503100000 │ '2023-02-27T13:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -300  │ -16950000  │ 4135454.5  │ 29413636.4 │   -4700   │  -266800000   │  34150000   │  300950000  │  0.7  │ 300  │ 16950000  │ 0.6 │     │          │     │
│    8    │ 56500 │ 56500 │ 56500 │ 56500 │     │         │   6200    │   200   │ 11300000  │ 352130000 │ 1677505500000 │ '2023-02-27T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -200  │ -11300000  │ 4135454.5  │ 29413636.4 │   -4900   │  -278100000   │  34150000   │  312250000  │  0.4  │ 200  │ 11300000  │ 0.4 │     │          │     │
│    9    │ 56700 │ 56700 │ 56700 │ 56700 │     │         │   6400    │   200   │ 11340000  │ 363470000 │ 1677507000000 │ '2023-02-27T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 72.7 │ 518.2 │ 9.1 │     │  200  │  11340000  │ 4135454.5  │ 29413636.4 │   -4700   │  -266760000   │  45490000   │  312250000  │ -0.4  │      │           │     │ 200 │ 11340000 │ 2.8 │
│   10    │ 56500 │ 56500 │ 56500 │ 56500 │     │         │   6600    │   200   │ 11300000  │ 374770000 │ 1677507600000 │ '2023-02-27T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 72.7 │ 518.2 │ 9.1 │     │ -200  │ -11300000  │ 4135454.5  │ 29413636.4 │   -4900   │  -278060000   │  45490000   │  323550000  │  0.4  │ 200  │ 11300000  │ 0.4 │     │          │     │
