┌─────────┬──────┬──────┬──────┬──────┬───────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  bu   │  val_bu   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 3560 │ 3560 │ 3560 │ 3560 │ 59100 │ 210396000 │   59100   │  59100  │ 210396000 │ 210396000 │ 1677489300000 │ '2023-02-27T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 10.4 │ 59100 │ 210396000 │ 20217052.6 │     0      │   59100   │   210396000   │  210396000  │      0      │ 10.4  │
│    1    │ 3560 │ 3560 │ 3560 │ 3560 │ 30100 │ 107156000 │   89200   │  30100  │ 107156000 │ 317552000 │ 1677489600000 │ '2023-02-27T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 5.3  │ 30100 │ 107156000 │ 20217052.6 │     0      │   89200   │   317552000   │  317552000  │      0      │  5.3  │
│    2    │ 3560 │ 3560 │ 3560 │ 3560 │ 19000 │ 67640000  │  108200   │  19000  │ 67640000  │ 385192000 │ 1677489900000 │ '2023-02-27T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 3.3  │ 19000 │ 67640000  │ 20217052.6 │     0      │  108200   │   385192000   │  385192000  │      0      │  3.3  │
│    3    │ 3560 │ 3560 │ 3560 │ 3560 │ 2900  │ 10324000  │  111100   │  2900   │ 10324000  │ 395516000 │ 1677490200000 │ '2023-02-27T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.5  │ 2900  │ 10324000  │ 20217052.6 │     0      │  111100   │   395516000   │  395516000  │      0      │  0.5  │
│    4    │ 3560 │ 3560 │ 3560 │ 3560 │ 6100  │ 21716000  │  117200   │  6100   │ 21716000  │ 417232000 │ 1677490500000 │ '2023-02-27T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 1.1  │ 6100  │ 21716000  │ 20217052.6 │     0      │  117200   │   417232000   │  417232000  │      0      │  1.1  │
│    5    │ 3560 │ 3560 │ 3560 │ 3560 │ 8000  │ 28480000  │  125200   │  8000   │ 28480000  │ 445712000 │ 1677490800000 │ '2023-02-27T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 1.4  │ 8000  │ 28480000  │ 20217052.6 │     0      │  125200   │   445712000   │  445712000  │      0      │  1.4  │
│    6    │ 3560 │ 3560 │ 3560 │ 3560 │ 7100  │ 25276000  │  132300   │  7100   │ 25276000  │ 470988000 │ 1677491100000 │ '2023-02-27T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 1.3  │ 7100  │ 25276000  │ 20217052.6 │     0      │  132300   │   470988000   │  470988000  │      0      │  1.3  │
│    7    │ 3560 │ 3560 │ 3560 │ 3560 │ 2200  │  7832000  │  134500   │  2200   │  7832000  │ 478820000 │ 1677491400000 │ '2023-02-27T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.4  │ 2200  │  7832000  │ 20217052.6 │     0      │  134500   │   478820000   │  478820000  │      0      │  0.4  │
│    8    │ 3560 │ 3560 │ 3560 │ 3560 │ 10100 │ 35956000  │  144600   │  10100  │ 35956000  │ 514776000 │ 1677491700000 │ '2023-02-27T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 1.8  │ 10100 │ 35956000  │ 20217052.6 │     0      │  144600   │   514776000   │  514776000  │      0      │  1.8  │
│    9    │ 3560 │ 3560 │ 3560 │ 3560 │ 1400  │  4984000  │  146000   │  1400   │  4984000  │ 519760000 │ 1677492000000 │ '2023-02-27T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.2  │ 1400  │  4984000  │ 20217052.6 │     0      │  146000   │   519760000   │  519760000  │      0      │  0.2  │
│   10    │ 3560 │ 3560 │ 3560 │ 3560 │ 1300  │  4628000  │  147300   │  1300   │  4628000  │ 524388000 │ 1677492300000 │ '2023-02-27T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.2  │ 1300  │  4628000  │ 20217052.6 │     0      │  147300   │   524388000   │  524388000  │      0      │  0.2  │
│   11    │ 3560 │ 3560 │ 3560 │ 3560 │ 3000  │ 10680000  │  150300   │  3000   │ 10680000  │ 535068000 │ 1677492600000 │ '2023-02-27T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.5  │ 3000  │ 10680000  │ 20217052.6 │     0      │  150300   │   535068000   │  535068000  │      0      │  0.5  │
│   12    │ 3560 │ 3560 │ 3560 │ 3560 │ 1000  │  3560000  │  151300   │  1000   │  3560000  │ 538628000 │ 1677492900000 │ '2023-02-27T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.2  │ 1000  │  3560000  │ 20217052.6 │     0      │  151300   │   538628000   │  538628000  │      0      │  0.2  │
│   13    │ 3560 │ 3560 │ 3560 │ 3560 │ 1200  │  4272000  │  152500   │  1200   │  4272000  │ 542900000 │ 1677493500000 │ '2023-02-27T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.2  │ 1200  │  4272000  │ 20217052.6 │     0      │  152500   │   542900000   │  542900000  │      0      │  0.2  │
│   14    │ 3560 │ 3560 │ 3560 │ 3560 │  200  │  712000   │  152700   │   200   │  712000   │ 543612000 │ 1677494100000 │ '2023-02-27T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │  0   │  200  │  712000   │ 20217052.6 │     0      │  152700   │   543612000   │  543612000  │      0      │   0   │
│   15    │ 3560 │ 3560 │ 3560 │ 3560 │  100  │  356000   │  152800   │   100   │  356000   │ 543968000 │ 1677494400000 │ '2023-02-27T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │  0   │  100  │  356000   │ 20217052.6 │     0      │  152800   │   543968000   │  543968000  │      0      │   0   │
│   16    │ 3560 │ 3560 │ 3560 │ 3560 │  200  │  712000   │  153000   │   200   │  712000   │ 544680000 │ 1677495000000 │ '2023-02-27T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │  0   │  200  │  712000   │ 20217052.6 │     0      │  153000   │   544680000   │  544680000  │      0      │   0   │
│   17    │ 3560 │ 3560 │ 3560 │ 3560 │  700  │  2492000  │  153700   │   700   │  2492000  │ 547172000 │ 1677495300000 │ '2023-02-27T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │ 0.1  │  700  │  2492000  │ 20217052.6 │     0      │  153700   │   547172000   │  547172000  │      0      │  0.1  │
│   18    │ 3560 │ 3560 │ 3560 │ 3560 │  200  │  712000   │  153900   │   200   │  712000   │ 547884000 │ 1677495600000 │ '2023-02-27T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5678.9 │  0  │  0  │  0   │  200  │  712000   │ 20217052.6 │     0      │  153900   │   547884000   │  547884000  │      0      │   0   │
