┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬────────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd  │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼────────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 5.4 │ 5.4 │ 5.4 │ 5.4 │ 100 │ 540000 │    100    │   100   │  540000  │  540000  │ 1672737600000 │ '2023-01-03T09:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 623.1 │ 676.9 │ 7.7 │ 13  │   0   │     0     │ 3526923.1  │  3760000   │     0     │       0       │      0      │      0      │   -0   │      │          │     │      │          │     │
│    1    │ 5.3 │ 5.3 │ 5.3 │ 5.3 │     │        │    200    │   100   │  530000  │ 1070000  │ 1672738200000 │ '2023-01-03T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -100  │  -530000  │ 3526923.1  │  3760000   │   -100    │    -530000    │      0      │   530000    │  2.3   │ 100  │  530000  │ 0.1 │      │          │     │
│    2    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   1200    │  1000   │ 5500000  │ 6570000  │ 1672739700000 │ '2023-01-03T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 623.1 │ 676.9 │ 7.7 │     │ 1000  │  5500000  │ 3526923.1  │  3760000   │    900    │    4970000    │   5500000   │   530000    │ -23.6  │      │          │     │ 1000 │ 5500000  │ 1.6 │
│    3    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   2200    │  1000   │ 5600000  │ 12170000 │ 1672740300000 │ '2023-01-03T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 623.1 │ 676.9 │ 7.7 │     │ 1000  │  5600000  │ 3526923.1  │  3760000   │   1900    │   10570000    │  11100000   │   530000    │  -24   │      │          │     │ 1000 │ 5600000  │ 1.6 │
│    4    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   2300    │   100   │  550000  │ 12720000 │ 1672741500000 │ '2023-01-03T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -100  │  -550000  │ 3526923.1  │  3760000   │   1800    │   10020000    │  11100000   │   1080000   │  2.4   │ 100  │  550000  │ 0.1 │      │          │     │
│    5    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   4000    │  1700   │ 9350000  │ 22070000 │ 1672744200000 │ '2023-01-03T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -1700 │ -9350000  │ 3526923.1  │  3760000   │    100    │    670000     │  11100000   │  10430000   │  40.1  │ 1700 │ 9350000  │ 2.5 │      │          │     │
│    6    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   5500    │  1500   │ 8250000  │ 30320000 │ 1672753200000 │ '2023-01-03T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -1500 │ -8250000  │ 3526923.1  │  3760000   │   -1400   │   -7580000    │  11100000   │  18680000   │  35.4  │ 1500 │ 8250000  │ 2.2 │      │          │     │
│    7    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   9700    │  4200   │ 23520000 │ 53840000 │ 1672753500000 │ '2023-01-03T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -4200 │ -23520000 │ 3526923.1  │  3760000   │   -5600   │   -31100000   │  11100000   │  42200000   │ 100.9  │ 4200 │ 23520000 │ 6.2 │      │          │     │
│    8    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   9900    │   200   │ 1120000  │ 54960000 │ 1672755000000 │ '2023-01-03T14:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -200  │ -1120000  │ 3526923.1  │  3760000   │   -5800   │   -32220000   │  11100000   │  43320000   │  4.8   │ 200  │ 1120000  │ 0.3 │      │          │     │
│    9    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   10500   │   600   │ 3360000  │ 58320000 │ 1672755300000 │ '2023-01-03T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -600  │ -3360000  │ 3526923.1  │  3760000   │   -6400   │   -35580000   │  11100000   │  46680000   │  14.4  │ 600  │ 3360000  │ 0.9 │      │          │     │
│   10    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   10900   │   400   │ 2200000  │ 60520000 │ 1672755600000 │ '2023-01-03T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 623.1 │ 676.9 │ 7.7 │     │ -400  │ -2200000  │ 3526923.1  │  3760000   │   -6800   │   -37780000   │  11100000   │  48880000   │  9.4   │ 400  │ 2200000  │ 0.6 │      │          │     │
│   11    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   11100   │   200   │ 1120000  │ 61640000 │ 1672755900000 │ '2023-01-03T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 623.1 │ 676.9 │ 7.7 │     │  200  │  1120000  │ 3526923.1  │  3760000   │   -6600   │   -36660000   │  12220000   │  48880000   │  -4.8  │      │          │     │ 200  │ 1120000  │ 0.3 │
│   12    │ 5.7 │ 5.7 │ 5.7 │ 5.7 │     │        │   17000   │  5900   │ 33630000 │ 95270000 │ 1672757100000 │ '2023-01-03T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 623.1 │ 676.9 │ 7.7 │     │ 5900  │ 33630000  │ 3526923.1  │  3760000   │   -700    │   -3030000    │  45850000   │  48880000   │ -144.3 │      │          │     │ 5900 │ 33630000 │ 9.5 │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴────────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

