┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼──────────┼─────┤
│    0    │ 13.2 │ 13.2 │ 13.2 │ 13.2 │ 500 │ 6600000 │    500    │   500   │ 6600000  │ 6600000  │ 1672736400000 │ '2023-01-03T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 300 │ 30.8 │ 38.5 │ 13  │   0   │     0     │ 3983076.9  │  403076.9  │     0     │       0       │      0      │      0      │   0   │     │         │     │      │          │     │
│    1    │ 13.1 │ 13.1 │ 13.1 │ 13.1 │     │         │    900    │   400   │ 5240000  │ 11840000 │ 1672737000000 │ '2023-01-03T09:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 300 │ 30.8 │ 38.5 │     │ -400  │ -5240000  │ 3983076.9  │  403076.9  │   -400    │   -5240000    │      0      │   5240000   │ -1.5  │ 400 │ 5240000 │ 13  │      │          │     │
│    2    │ 13.2 │ 13.2 │ 13.2 │ 13.2 │     │         │   1500    │   600   │ 7920000  │ 19760000 │ 1672737300000 │ '2023-01-03T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  600  │  7920000  │ 3983076.9  │  403076.9  │    200    │    2680000    │   7920000   │   5240000   │  2.2  │     │         │     │ 600  │ 7920000  │  2  │
│    3    │ 13.2 │ 13.2 │ 13.2 │ 13.2 │     │         │   1800    │   300   │ 3960000  │ 23720000 │ 1672738800000 │ '2023-01-03T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  300  │  3960000  │ 3983076.9  │  403076.9  │    500    │    6640000    │  11880000   │   5240000   │  1.1  │     │         │     │ 300  │ 3960000  │  1  │
│    4    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   1900    │   100   │ 1330000  │ 25050000 │ 1672739400000 │ '2023-01-03T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  100  │  1330000  │ 3983076.9  │  403076.9  │    600    │    7970000    │  13210000   │   5240000   │  0.4  │     │         │     │ 100  │ 1330000  │ 0.3 │
│    5    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   2100    │   200   │ 2660000  │ 27710000 │ 1672740900000 │ '2023-01-03T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  200  │  2660000  │ 3983076.9  │  403076.9  │    800    │   10630000    │  15870000   │   5240000   │  0.7  │     │         │     │ 200  │ 2660000  │ 0.7 │
│    6    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   2200    │   100   │ 1330000  │ 29040000 │ 1672744800000 │ '2023-01-03T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  100  │  1330000  │ 3983076.9  │  403076.9  │    900    │   11960000    │  17200000   │   5240000   │  0.4  │     │         │     │ 100  │ 1330000  │ 0.3 │
│    7    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   2300    │   100   │ 1330000  │ 30370000 │ 1672745100000 │ '2023-01-03T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  100  │  1330000  │ 3983076.9  │  403076.9  │   1000    │   13290000    │  18530000   │   5240000   │  0.4  │     │         │     │ 100  │ 1330000  │ 0.3 │
│    8    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   2400    │   100   │ 1330000  │ 31700000 │ 1672753200000 │ '2023-01-03T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  100  │  1330000  │ 3983076.9  │  403076.9  │   1100    │   14620000    │  19860000   │   5240000   │  0.4  │     │         │     │ 100  │ 1330000  │ 0.3 │
│    9    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   4400    │  2000   │ 26600000 │ 58300000 │ 1672753800000 │ '2023-01-03T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │ 2000  │ 26600000  │ 3983076.9  │  403076.9  │   3100    │   41220000    │  46460000   │   5240000   │  7.4  │     │         │     │ 2000 │ 26600000 │ 6.7 │
│   10    │ 13.3 │ 13.3 │ 13.3 │ 13.3 │     │         │   4600    │   200   │ 2660000  │ 60960000 │ 1672754700000 │ '2023-01-03T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 300 │ 30.8 │ 38.5 │     │  200  │  2660000  │ 3983076.9  │  403076.9  │   3300    │   43880000    │  49120000   │   5240000   │  0.7  │     │         │     │ 200  │ 2660000  │ 0.7 │
