┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┤
│    0    │ 5.3 │ 5.3 │ 5.3 │ 5.3 │ 100 │ 530000 │    100    │   100   │  530000  │  530000   │ 1671182700000 │ '2022-12-16T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 2183.3 │ 8.3 │  0  │ 12  │ -100  │  -530000  │ 12008333.3 │  44166.7   │   -100    │    -530000    │      0      │   530000    │  -0   │       │          │     │
│    1    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │    600    │   500   │ 2750000  │  3280000  │ 1671183900000 │ '2022-12-16T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │  500  │  2750000  │ 12008333.3 │  44166.7   │    400    │    2220000    │   2750000   │   530000    │  0.2  │  500  │ 2750000  │ 0.2 │
│    2    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │    700    │   100   │  550000  │  3830000  │ 1671184800000 │ '2022-12-16T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │  100  │  550000   │ 12008333.3 │  44166.7   │    500    │    2770000    │   3300000   │   530000    │   0   │  100  │  550000  │  0  │
│    3    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │    800    │   100   │  550000  │  4380000  │ 1671185100000 │ '2022-12-16T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │  100  │  550000   │ 12008333.3 │  44166.7   │    600    │    3320000    │   3850000   │   530000    │   0   │  100  │  550000  │  0  │
│    4    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   1800    │  1000   │ 5500000  │  9880000  │ 1671185700000 │ '2022-12-16T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │ 1000  │  5500000  │ 12008333.3 │  44166.7   │   1600    │    8820000    │   9350000   │   530000    │  0.5  │ 1000  │ 5500000  │ 0.5 │
│    5    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   2300    │   500   │ 2750000  │ 12630000  │ 1671186000000 │ '2022-12-16T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │  500  │  2750000  │ 12008333.3 │  44166.7   │   2100    │   11570000    │  12100000   │   530000    │  0.2  │  500  │ 2750000  │ 0.2 │
│    6    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   8800    │  6500   │ 35750000 │ 48380000  │ 1671188400000 │ '2022-12-16T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │ 6500  │ 35750000  │ 12008333.3 │  44166.7   │   8600    │   47320000    │  47850000   │   530000    │   3   │ 6500  │ 35750000 │  3  │
│    7    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   9100    │   300   │ 1650000  │ 50030000  │ 1671188700000 │ '2022-12-16T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │  300  │  1650000  │ 12008333.3 │  44166.7   │   8900    │   48970000    │  49500000   │   530000    │  0.1  │  300  │ 1650000  │ 0.1 │
│    8    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   24100   │  15000  │ 82500000 │ 132530000 │ 1671189300000 │ '2022-12-16T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │ 15000 │ 82500000  │ 12008333.3 │  44166.7   │   23900   │   131470000   │  132000000  │   530000    │  6.9  │ 15000 │ 82500000 │ 6.9 │
│    9    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   24200   │   100   │  550000  │ 133080000 │ 1671189600000 │ '2022-12-16T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │  100  │  550000   │ 12008333.3 │  44166.7   │   24000   │   132020000   │  132550000  │   530000    │   0   │  100  │  550000  │  0  │
│   10    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   26200   │  2000   │ 11000000 │ 144080000 │ 1671197100000 │ '2022-12-16T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2183.3 │ 8.3 │  0  │     │ 2000  │ 11000000  │ 12008333.3 │  44166.7   │   26000   │   143020000   │  143550000  │   530000    │  0.9  │ 2000  │ 11000000 │ 0.9 │
