┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬──────┬─────┬────────┬──────┐
│ (index) │  c  │  h  │  l  │  o  │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu  │ rbu  │ sd  │ val_sd │ rsd  │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼──────┼─────┼────────┼──────┤
│    0    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │ 600 │ 420000 │    600    │   600   │  420000  │  420000  │ 1671182100000 │ '2022-12-16T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1878.6 │ 7.1 │ 42.9 │ 14  │   0   │     0     │  1315000   │   4285.7   │     0     │       0       │      0      │      0      │   0   │       │          │      │     │        │      │
│    1    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │    700    │   100   │  70000   │  490000  │ 1671182400000 │ '2022-12-16T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  100  │   70000   │  1315000   │   4285.7   │    100    │     70000     │    70000    │      0      │  0.1  │  100  │  70000   │ 0.1  │     │        │      │
│    2    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │    900    │   200   │  140000  │  630000  │ 1671183300000 │ '2022-12-16T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  200  │  140000   │  1315000   │   4285.7   │    300    │    210000     │   210000    │      0      │  0.1  │  200  │  140000  │ 0.1  │     │        │      │
│    3    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   1200    │   300   │  210000  │  840000  │ 1671183600000 │ '2022-12-16T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  300  │  210000   │  1315000   │   4285.7   │    600    │    420000     │   420000    │      0      │  0.2  │  300  │  210000  │ 0.2  │     │        │      │
│    4    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   3700    │  2500   │ 1750000  │ 2590000  │ 1671184200000 │ '2022-12-16T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │ 2500  │  1750000  │  1315000   │   4285.7   │   3100    │    2170000    │   2170000   │      0      │  1.3  │ 2500  │ 1750000  │ 1.3  │     │        │      │
│    5    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   4700    │  1000   │  700000  │ 3290000  │ 1671184800000 │ '2022-12-16T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │ 1000  │  700000   │  1315000   │   4285.7   │   4100    │    2870000    │   2870000   │      0      │  0.5  │ 1000  │  700000  │ 0.5  │     │        │      │
│    6    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   5200    │   500   │  350000  │ 3640000  │ 1671186300000 │ '2022-12-16T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  500  │  350000   │  1315000   │   4285.7   │   4600    │    3220000    │   3220000   │      0      │  0.3  │  500  │  350000  │ 0.3  │     │        │      │
│    7    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   5300    │   100   │  60000   │ 3700000  │ 1671186600000 │ '2022-12-16T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1878.6 │ 7.1 │ 42.9 │     │ -100  │  -60000   │  1315000   │   4285.7   │   4500    │    3160000    │   3220000   │    60000    │  -0   │       │          │      │ 100 │ 60000  │ 14.1 │
│    8    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   25300   │  20000  │ 14000000 │ 17700000 │ 1671187800000 │ '2022-12-16T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │ 20000 │ 14000000  │  1315000   │   4285.7   │   24500   │   17160000    │  17220000   │    60000    │ 10.7  │ 20000 │ 14000000 │ 10.6 │     │        │      │
│    9    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   25400   │   100   │  70000   │ 17770000 │ 1671189000000 │ '2022-12-16T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  100  │   70000   │  1315000   │   4285.7   │   24600   │   17230000    │  17290000   │    60000    │  0.1  │  100  │  70000   │ 0.1  │     │        │      │
│   10    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   25500   │   100   │  70000   │ 17840000 │ 1671195600000 │ '2022-12-16T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  100  │   70000   │  1315000   │   4285.7   │   24700   │   17300000    │  17360000   │    60000    │  0.1  │  100  │  70000   │ 0.1  │     │        │      │
│   11    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   26000   │   500   │  350000  │ 18190000 │ 1671197400000 │ '2022-12-16T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  500  │  350000   │  1315000   │   4285.7   │   25200   │   17650000    │  17710000   │    60000    │  0.3  │  500  │  350000  │ 0.3  │     │        │      │
│   12    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   26500   │   500   │  350000  │ 18540000 │ 1671197700000 │ '2022-12-16T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  500  │  350000   │  1315000   │   4285.7   │   25700   │   18000000    │  18060000   │    60000    │  0.3  │  500  │  350000  │ 0.3  │     │        │      │
│   13    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   27000   │   500   │  350000  │ 18890000 │ 1671202200000 │ '2022-12-16T14:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1878.6 │ 7.1 │ 42.9 │     │  500  │  350000   │  1315000   │   4285.7   │   26200   │   18350000    │  18410000   │    60000    │  0.3  │  500  │  350000  │ 0.3  │     │        │      │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴──────────┴──────┴─────┴────────┴──────┘

