┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬───────┬─────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬──────┬───────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │  auk  │ ruk │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu  │  sd   │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼───────┼─────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼──────┼───────┼──────────┼─────┤
│    0    │ 4200 │ 4200 │ 4200 │ 4200 │ 2000 │ 8400000 │   2000    │  2000   │ 8400000  │  8400000  │ 1678957200000 │ '2023-03-16T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 146.7 │ 5820 │ 133.3 │ 15  │   0    │     0     │  602666.7  │  23862000  │     0     │       0       │      0      │      0      │  -0   │      │         │      │       │          │     │
│    1    │ 4200 │ 4200 │ 4200 │ 4200 │      │         │   2200    │   200   │  840000  │  9240000  │ 1678958400000 │ '2023-03-16T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 146.7 │ 5820 │ 133.3 │     │  200   │  840000   │  602666.7  │  23862000  │    200    │    840000     │   840000    │      0      │  -0   │ 200  │ 840000  │ 1.4  │       │          │     │
│    2    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   19000   │  16800  │ 68880000 │ 78120000  │ 1678959300000 │ '2023-03-16T09:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -16800 │ -68880000 │  602666.7  │  23862000  │  -16600   │   -68040000   │   840000    │  68880000   │   3   │      │         │      │ 16800 │ 68880000 │ 2.9 │
│    3    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   21500   │  2500   │ 10250000 │ 88370000  │ 1678961400000 │ '2023-03-16T10:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -2500  │ -10250000 │  602666.7  │  23862000  │  -19100   │   -78290000   │   840000    │  79130000   │  0.4  │      │         │      │ 2500  │ 10250000 │ 0.4 │
│    4    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   28700   │  7200   │ 29520000 │ 117890000 │ 1678962600000 │ '2023-03-16T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -7200  │ -29520000 │  602666.7  │  23862000  │  -26300   │  -107810000   │   840000    │  108650000  │  1.3  │      │         │      │ 7200  │ 29520000 │ 1.2 │
│    5    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   44700   │  16000  │ 65600000 │ 183490000 │ 1678963200000 │ '2023-03-16T10:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -16000 │ -65600000 │  602666.7  │  23862000  │  -42300   │  -173410000   │   840000    │  174250000  │  2.8  │      │         │      │ 16000 │ 65600000 │ 2.7 │
│    6    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   64400   │  19700  │ 80770000 │ 264260000 │ 1678963500000 │ '2023-03-16T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -19700 │ -80770000 │  602666.7  │  23862000  │  -62000   │  -254180000   │   840000    │  255020000  │  3.5  │      │         │      │ 19700 │ 80770000 │ 3.4 │
│    7    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   74400   │  10000  │ 41000000 │ 305260000 │ 1678963800000 │ '2023-03-16T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -10000 │ -41000000 │  602666.7  │  23862000  │  -72000   │  -295180000   │   840000    │  296020000  │  1.8  │      │         │      │ 10000 │ 41000000 │ 1.7 │
│    8    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   78300   │  3900   │ 15990000 │ 321250000 │ 1678964700000 │ '2023-03-16T11:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -3900  │ -15990000 │  602666.7  │  23862000  │  -75900   │  -311170000   │   840000    │  312010000  │  0.7  │      │         │      │ 3900  │ 15990000 │ 0.7 │
│    9    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   84300   │  6000   │ 24600000 │ 345850000 │ 1678971600000 │ '2023-03-16T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 146.7 │ 5820 │ 133.3 │     │ -6000  │ -24600000 │  602666.7  │  23862000  │  -81900   │  -335770000   │   840000    │  336610000  │  1.1  │      │         │      │ 6000  │ 24600000 │  1  │
│   10    │ 4100 │ 4100 │ 4100 │ 4100 │      │         │   86000   │  1700   │ 6970000  │ 352820000 │ 1678971900000 │ '2023-03-16T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 146.7 │ 5820 │ 133.3 │     │  1700  │  6970000  │  602666.7  │  23862000  │  -80200   │  -328800000   │   7810000   │  336610000  │ -0.3  │ 1700 │ 6970000 │ 11.6 │       │          │     │
