┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │  sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼──────┼─────────┼─────┤
│    0    │ 5400 │ 5400 │ 5400 │ 5400 │ 100 │ 540000 │    100    │   100   │ 540000  │  540000  │ 1678957200000 │ '2023-03-16T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 336.4 │ 309.1 │ 9.1 │ 11  │   0   │     0     │ 1758181.8  │ 1577272.7  │     0     │       0       │      0      │      0      │   0   │      │         │     │      │         │     │
│    1    │ 5300 │ 5300 │ 5300 │ 5300 │     │        │   1100    │  1000   │ 5300000 │ 5840000  │ 1678958100000 │ '2023-03-16T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 336.4 │ 309.1 │ 9.1 │     │ 1000  │  5300000  │ 1758181.8  │ 1577272.7  │   1000    │    5300000    │   5300000   │      0      │ 29.3  │ 1000 │ 5300000 │  3  │      │         │     │
│    2    │ 5200 │ 5200 │ 5200 │ 5200 │     │        │   1200    │   100   │ 520000  │ 6360000  │ 1678963500000 │ '2023-03-16T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 336.4 │ 309.1 │ 9.1 │     │ -100  │  -520000  │ 1758181.8  │ 1577272.7  │    900    │    4780000    │   5300000   │   520000    │ -2.9  │      │         │     │ 100  │ 520000  │ 0.3 │
│    3    │ 5200 │ 5200 │ 5200 │ 5200 │     │        │   3100    │  1900   │ 9880000 │ 16240000 │ 1678964100000 │ '2023-03-16T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 336.4 │ 309.1 │ 9.1 │     │ 1900  │  9880000  │ 1758181.8  │ 1577272.7  │   2800    │   14660000    │  15180000   │   520000    │ 54.6  │ 1900 │ 9880000 │ 5.6 │      │         │     │
│    4    │ 5200 │ 5200 │ 5200 │ 5200 │     │        │   3200    │   100   │ 520000  │ 16760000 │ 1678965300000 │ '2023-03-16T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 336.4 │ 309.1 │ 9.1 │     │  100  │  520000   │ 1758181.8  │ 1577272.7  │   2900    │   15180000    │  15700000   │   520000    │  2.9  │ 100  │ 520000  │ 0.3 │      │         │     │
│    5    │ 5200 │ 5200 │ 5200 │ 5200 │     │        │   3700    │   500   │ 2600000 │ 19360000 │ 1678972500000 │ '2023-03-16T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 336.4 │ 309.1 │ 9.1 │     │  500  │  2600000  │ 1758181.8  │ 1577272.7  │   3400    │   17780000    │  18300000   │   520000    │ 14.4  │ 500  │ 2600000 │ 1.5 │      │         │     │
│    6    │ 5100 │ 5100 │ 5100 │ 5100 │     │        │   4000    │   300   │ 1530000 │ 20890000 │ 1678973400000 │ '2023-03-16T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 336.4 │ 309.1 │ 9.1 │     │ -300  │ -1530000  │ 1758181.8  │ 1577272.7  │   3100    │   16250000    │  18300000   │   2050000   │ -8.5  │      │         │     │ 300  │ 1530000 │  1  │
│    7    │ 5100 │ 5100 │ 5100 │ 5100 │     │        │   5000    │  1000   │ 5100000 │ 25990000 │ 1678974300000 │ '2023-03-16T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 336.4 │ 309.1 │ 9.1 │     │ -1000 │ -5100000  │ 1758181.8  │ 1577272.7  │   2100    │   11150000    │  18300000   │   7150000   │ -28.2 │      │         │     │ 1000 │ 5100000 │ 3.2 │
│    8    │ 5100 │ 5100 │ 5100 │ 5100 │     │        │   6000    │  1000   │ 5100000 │ 31090000 │ 1678974600000 │ '2023-03-16T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 336.4 │ 309.1 │ 9.1 │     │ -1000 │ -5100000  │ 1758181.8  │ 1577272.7  │   1100    │    6050000    │  18300000   │  12250000   │ -28.2 │      │         │     │ 1000 │ 5100000 │ 3.2 │
│    9    │ 5100 │ 5100 │ 5100 │ 5100 │     │        │   7000    │  1000   │ 5100000 │ 36190000 │ 1678975200000 │ '2023-03-16T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 336.4 │ 309.1 │ 9.1 │     │ -1000 │ -5100000  │ 1758181.8  │ 1577272.7  │    100    │    950000     │  18300000   │  17350000   │ -28.2 │      │         │     │ 1000 │ 5100000 │ 3.2 │
│   10    │ 5200 │ 5200 │ 5200 │ 5200 │     │        │   7200    │   200   │ 1040000 │ 37230000 │ 1678977600000 │ '2023-03-16T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 336.4 │ 309.1 │ 9.1 │     │  200  │  1040000  │ 1758181.8  │ 1577272.7  │    300    │    1990000    │  19340000   │  17350000   │  5.7  │ 200  │ 1040000 │ 0.6 │      │         │     │
