┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ sd  │ val_sd  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk │ rsd  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu   │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┤
│    0    │ 43000 │ 43000 │ 43000 │ 43000 │ 100 │ 4300000 │    100    │   100   │  4300000  │  4300000  │ 1678957200000 │ '2023-03-16T09:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1381.3 │ 6.3 │  0  │ 15.9 │ -100  │ -4300000  │  58110625  │   268750   │   -100    │   -4300000    │      0      │   4300000   │ -0.1  │      │           │     │
│    1    │ 43000 │ 43000 │ 43000 │ 43000 │     │         │   2100    │  2000   │ 86000000  │ 90300000  │ 1678958100000 │ '2023-03-16T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │ 2000  │ 86000000  │  58110625  │   268750   │   1900    │   81700000    │  86000000   │   4300000   │  1.5  │ 2000 │ 86000000  │ 1.4 │
│    2    │ 42600 │ 42700 │ 42600 │ 42700 │     │         │   6200    │  4100   │ 174770000 │ 265070000 │ 1678958700000 │ '2023-03-16T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │ 4100  │ 174770000 │  58110625  │   268750   │   6000    │   256470000   │  260770000  │   4300000   │   3   │ 4100 │ 174770000 │  3  │
│    3    │ 41800 │ 41900 │ 41800 │ 41900 │     │         │   10200   │  4000   │ 167400000 │ 432470000 │ 1678959300000 │ '2023-03-16T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │ 4000  │ 167400000 │  58110625  │   268750   │   10000   │   423870000   │  428170000  │   4300000   │  2.9  │ 4000 │ 167400000 │ 2.9 │
│    4    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   13200   │  3000   │ 125400000 │ 557870000 │ 1678960200000 │ '2023-03-16T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │ 3000  │ 125400000 │  58110625  │   268750   │   13000   │   549270000   │  553570000  │   4300000   │  2.2  │ 3000 │ 125400000 │ 2.2 │
│    5    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   14200   │  1000   │ 41800000  │ 599670000 │ 1678960800000 │ '2023-03-16T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │ 1000  │ 41800000  │  58110625  │   268750   │   14000   │   591070000   │  595370000  │   4300000   │  0.7  │ 1000 │ 41800000  │ 0.7 │
│    6    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   14700   │   500   │ 20900000  │ 620570000 │ 1678961100000 │ '2023-03-16T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │  500  │ 20900000  │  58110625  │   268750   │   14500   │   611970000   │  616270000  │   4300000   │  0.4  │ 500  │ 20900000  │ 0.4 │
│    7    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   15200   │   500   │ 20900000  │ 641470000 │ 1678961400000 │ '2023-03-16T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │  500  │ 20900000  │  58110625  │   268750   │   15000   │   632870000   │  637170000  │   4300000   │  0.4  │ 500  │ 20900000  │ 0.4 │
│    8    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   15700   │   500   │ 20900000  │ 662370000 │ 1678962000000 │ '2023-03-16T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │  500  │ 20900000  │  58110625  │   268750   │   15500   │   653770000   │  658070000  │   4300000   │  0.4  │ 500  │ 20900000  │ 0.4 │
│    9    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   16200   │   500   │ 20900000  │ 683270000 │ 1678962900000 │ '2023-03-16T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │  500  │ 20900000  │  58110625  │   268750   │   16000   │   674670000   │  678970000  │   4300000   │  0.4  │ 500  │ 20900000  │ 0.4 │
│   10    │ 41800 │ 41800 │ 41800 │ 41800 │     │         │   16700   │   500   │ 20900000  │ 704170000 │ 1678964100000 │ '2023-03-16T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1381.3 │ 6.3 │  0  │      │  500  │ 20900000  │  58110625  │   268750   │   16500   │   695570000   │  699870000  │   4300000   │  0.4  │ 500  │ 20900000  │ 0.4 │
