┌─────────┬─────┬─────┬─────┬─────┬─────┬───────────────────┬───────────┬─────────┬────────────────────┬───────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬────────────────────┬────────────┬────────────┬───────────┬────────────────────┬─────────────┬───────────────────┬───────┬──────┬────────────────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │      val_sd       │ total_vol │ sum_vol │        val         │     acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ rsd │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │   acum_busd_val    │ acum_val_bu │    acum_val_sd    │ rbusd │  bu  │       val_bu       │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼───────────────────┼───────────┼─────────┼────────────────────┼───────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼────────────────────┼────────────┼────────────┼───────────┼────────────────────┼─────────────┼───────────────────┼───────┼──────┼────────────────────┼─────┤
│    0    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │ 100 │ 880000.0000000001 │    100    │   100   │ 880000.0000000001  │ 880000.0000000001 │ 1672045440000 │ '2022-12-26T09:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 607.7 │ 15.4 │  0  │ 6.5 │ -100  │ -880000.0000000001 │ 3769284.6  │  134615.4  │   -100    │ -880000.0000000001 │      0      │ 880000.0000000001 │  0.2  │      │                    │     │
│    1    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │     │                   │   1100    │  1000   │      8700000       │      9580000      │ 1672046280000 │ '2022-12-26T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │ 1000  │      8700000       │ 3769284.6  │  134615.4  │    900    │      7820000       │   8700000   │ 880000.0000000001 │  2.4  │ 1000 │      8700000       │ 1.6 │
│    2    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │     │                   │   1800    │   700   │ 6089999.999999999  │     15670000      │ 1672046520000 │ '2022-12-26T09:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  700  │ 6089999.999999999  │ 3769284.6  │  134615.4  │   1600    │      13910000      │  14790000   │ 880000.0000000001 │  1.7  │ 700  │ 6089999.999999999  │ 1.2 │
│    3    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   2800    │  1000   │      8800000       │     24470000      │ 1672048200000 │ '2022-12-26T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │ 1000  │      8800000       │ 3769284.6  │  134615.4  │   2600    │      22710000      │  23590000   │ 880000.0000000001 │  2.4  │ 1000 │      8800000       │ 1.6 │
│    4    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3100    │   300   │      2640000       │     27110000      │ 1672048320000 │ '2022-12-26T09:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  300  │      2640000       │ 3769284.6  │  134615.4  │   2900    │      25350000      │  26230000   │ 880000.0000000001 │  0.7  │ 300  │      2640000       │ 0.5 │
│    5    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3300    │   200   │ 1760000.0000000002 │     28870000      │ 1672048920000 │ '2022-12-26T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  200  │ 1760000.0000000002 │ 3769284.6  │  134615.4  │   3100    │      27110000      │  27990000   │ 880000.0000000001 │  0.5  │ 200  │ 1760000.0000000002 │ 0.3 │
│    6    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3500    │   200   │ 1760000.0000000002 │     30630000      │ 1672050120000 │ '2022-12-26T10:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  200  │ 1760000.0000000002 │ 3769284.6  │  134615.4  │   3300    │      28870000      │  29750000   │ 880000.0000000001 │  0.5  │ 200  │ 1760000.0000000002 │ 0.3 │
│    7    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3800    │   300   │      2640000       │     33270000      │ 1672051440000 │ '2022-12-26T10:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  300  │      2640000       │ 3769284.6  │  134615.4  │   3600    │      31510000      │  32390000   │ 880000.0000000001 │  0.7  │ 300  │      2640000       │ 0.5 │
│    8    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3900    │   100   │ 880000.0000000001  │     34150000      │ 1672052520000 │ '2022-12-26T11:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  100  │ 880000.0000000001  │ 3769284.6  │  134615.4  │   3700    │      32390000      │  33270000   │ 880000.0000000001 │  0.2  │ 100  │ 880000.0000000001  │ 0.2 │
│    9    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   4400    │   500   │      4400000       │     38550000      │ 1672053480000 │ '2022-12-26T11:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 607.7 │ 15.4 │  0  │     │  500  │      4400000       │ 3769284.6  │  134615.4  │   4200    │      36790000      │  37670000   │ 880000.0000000001 │  1.2  │ 500  │      4400000       │ 0.8 │
│   10    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │ 100 │ 869999.9999999999 │   4500    │   100   │ 869999.9999999999  │     39420000      │ 1672060800000 │ '2022-12-26T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 607.7 │ 15.4 │  0  │ 6.5 │ -100  │ -869999.9999999999 │ 3769284.6  │  134615.4  │   4100    │      35920000      │  37670000   │      1750000      │  0.2  │      │                    │     │
