┌─────────┬───────┬───────┬───────┬───────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │  46   │  46   │  46   │  46   │ 100 │  4600  │    100    │   100   │   4600   │   4600    │ 1675847640000 │ '2023-02-08T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 118.8 │ 425 │ 6.3 │ 15.9 │   0   │     0     │  5371875   │ 19207812.5 │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 44.6  │ 44.6  │ 44.6  │ 44.6  │     │        │    400    │   300   │ 13380000 │ 13384600  │ 1675848120000 │ '2023-02-08T09:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -300  │ -13380000 │  5371875   │ 19207812.5 │   -300    │   -13380000   │      0      │  13380000   │   1   │ 300  │ 13380000 │ 0.7 │      │          │     │
│    2    │ 45.6  │ 45.6  │ 45.6  │ 45.6  │     │        │    600    │   200   │ 9120000  │ 22504600  │ 1675851120000 │ '2023-02-08T10:12:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -200  │ -9120000  │  5371875   │ 19207812.5 │   -500    │   -22500000   │      0      │  22500000   │  0.7  │ 200  │ 9120000  │ 0.5 │      │          │     │
│    3    │ 45.5  │ 45.5  │ 45.5  │ 45.5  │     │        │    900    │   300   │ 13650000 │ 36154600  │ 1675852080000 │ '2023-02-08T10:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -300  │ -13650000 │  5371875   │ 19207812.5 │   -800    │   -36150000   │      0      │  36150000   │   1   │ 300  │ 13650000 │ 0.7 │      │          │     │
│    4    │ 45.2  │ 45.2  │ 45.2  │ 45.2  │     │        │   1700    │   800   │ 36160000 │ 72314600  │ 1675862400000 │ '2023-02-08T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -800  │ -36160000 │  5371875   │ 19207812.5 │   -1600   │   -72310000   │      0      │  72310000   │  2.6  │ 800  │ 36160000 │ 1.9 │      │          │     │
│    5    │ 45.2  │ 45.2  │ 45.2  │ 45.2  │     │        │   2700    │  1000   │ 45200000 │ 117514600 │ 1675863120000 │ '2023-02-08T13:32:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -1000 │ -45200000 │  5371875   │ 19207812.5 │   -2600   │  -117510000   │      0      │  117510000  │  3.3  │ 1000 │ 45200000 │ 2.4 │      │          │     │
│    6    │ 45.2  │ 45.2  │ 45.2  │ 45.2  │     │        │   3500    │   800   │ 36160000 │ 153674600 │ 1675863240000 │ '2023-02-08T13:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 118.8 │ 425 │ 6.3 │      │  800  │ 36160000  │  5371875   │ 19207812.5 │   -1800   │   -81350000   │  36160000   │  117510000  │  2.6  │      │          │     │ 800  │ 36160000 │ 6.7 │
│    7    │ 45.2  │ 45.2  │ 45.2  │ 45.2  │     │        │   4700    │  1200   │ 54240000 │ 207914600 │ 1675863360000 │ '2023-02-08T13:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -1200 │ -54240000 │  5371875   │ 19207812.5 │   -3000   │  -135590000   │  36160000   │  171750000  │  3.9  │ 1200 │ 54240000 │ 2.8 │      │          │     │
│    8    │ 45.2  │ 45.2  │ 45.2  │ 45.2  │     │        │   5700    │  1000   │ 45200000 │ 253114600 │ 1675863600000 │ '2023-02-08T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 118.8 │ 425 │ 6.3 │      │ 1000  │ 45200000  │  5371875   │ 19207812.5 │   -2000   │   -90390000   │  81360000   │  171750000  │  3.3  │      │          │     │ 1000 │ 45200000 │ 8.4 │
│    9    │ 45.15 │ 45.15 │ 45.15 │ 45.15 │     │        │   6000    │   300   │ 13545000 │ 266659600 │ 1675864440000 │ '2023-02-08T13:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -300  │ -13545000 │  5371875   │ 19207812.5 │   -2300   │  -103935000   │  81360000   │  185295000  │   1   │ 300  │ 13545000 │ 0.7 │      │          │     │
│   10    │ 45.15 │ 45.15 │ 45.15 │ 45.15 │     │        │   6200    │   200   │ 9030000  │ 275689600 │ 1675864920000 │ '2023-02-08T14:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 118.8 │ 425 │ 6.3 │      │ -200  │ -9030000  │  5371875   │ 19207812.5 │   -2500   │  -112965000   │  81360000   │  194325000  │  0.7  │ 200  │ 9030000  │ 0.5 │      │          │     │
