┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 10.3  │ 10.3  │ 10.3  │ 10.3  │ 100 │ 1030000 │    100    │   100   │ 1030000  │  1030000  │ 1675847640000 │ '2023-02-08T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 575 │ 168.8 │ 6.3 │ 15.9 │   0   │     0     │  6022500   │ 1745312.5  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 10.3  │ 10.3  │ 10.3  │ 10.3  │     │         │   1100    │  1000   │ 10300000 │ 11330000  │ 1675848360000 │ '2023-02-08T09:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 575 │ 168.8 │ 6.3 │      │ -1000 │ -10300000 │  6022500   │ 1745312.5  │   -1000   │   -10300000   │      0      │  10300000   │  2.4  │ 1000 │ 10300000 │ 5.9 │      │          │     │
│    2    │ 10.35 │ 10.35 │ 10.35 │ 10.35 │     │         │   1700    │   600   │ 6210000  │ 17540000  │ 1675849800000 │ '2023-02-08T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 575 │ 168.8 │ 6.3 │      │ -600  │ -6210000  │  6022500   │ 1745312.5  │   -1600   │   -16510000   │      0      │  16510000   │  1.5  │ 600  │ 6210000  │ 3.6 │      │          │     │
│    3    │ 10.35 │ 10.35 │ 10.35 │ 10.35 │     │         │   1800    │   100   │ 1035000  │ 18575000  │ 1675850520000 │ '2023-02-08T10:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 575 │ 168.8 │ 6.3 │      │ -100  │ -1035000  │  6022500   │ 1745312.5  │   -1700   │   -17545000   │      0      │  17545000   │  0.2  │ 100  │ 1035000  │ 0.6 │      │          │     │
│    4    │ 10.35 │ 10.35 │ 10.35 │ 10.35 │     │         │   1900    │   100   │ 1035000  │ 19610000  │ 1675853400000 │ '2023-02-08T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 575 │ 168.8 │ 6.3 │      │ -100  │ -1035000  │  6022500   │ 1745312.5  │   -1800   │   -18580000   │      0      │  18580000   │  0.2  │ 100  │ 1035000  │ 0.6 │      │          │     │
│    5    │ 10.45 │ 10.45 │ 10.45 │ 10.45 │     │         │   2000    │   100   │ 1045000  │ 20655000  │ 1675854840000 │ '2023-02-08T11:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 575 │ 168.8 │ 6.3 │      │  100  │  1045000  │  6022500   │ 1745312.5  │   -1700   │   -17535000   │   1045000   │  18580000   │  0.2  │      │          │     │ 100  │ 1045000  │ 0.2 │
│    6    │ 10.45 │ 10.45 │ 10.45 │ 10.45 │     │         │   2100    │   100   │ 1045000  │ 21700000  │ 1675855080000 │ '2023-02-08T11:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 575 │ 168.8 │ 6.3 │      │  100  │  1045000  │  6022500   │ 1745312.5  │   -1600   │   -16490000   │   2090000   │  18580000   │  0.2  │      │          │     │ 100  │ 1045000  │ 0.2 │
│    7    │ 10.35 │ 10.35 │ 10.35 │ 10.35 │     │         │   2400    │   300   │ 3105000  │ 24805000  │ 1675863120000 │ '2023-02-08T13:32:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 575 │ 168.8 │ 6.3 │      │ -300  │ -3105000  │  6022500   │ 1745312.5  │   -1900   │   -19595000   │   2090000   │  21685000   │  0.7  │ 300  │ 3105000  │ 1.8 │      │          │     │
│    8    │ 10.4  │ 10.4  │ 10.4  │ 10.4  │     │         │   2500    │   100   │ 1040000  │ 25845000  │ 1675864320000 │ '2023-02-08T13:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 575 │ 168.8 │ 6.3 │      │  100  │  1040000  │  6022500   │ 1745312.5  │   -1800   │   -18555000   │   3130000   │  21685000   │  0.2  │      │          │     │ 100  │ 1040000  │ 0.2 │
│    9    │ 10.4  │ 10.4  │ 10.4  │ 10.4  │     │         │   2700    │   200   │ 2080000  │ 27925000  │ 1675864440000 │ '2023-02-08T13:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 575 │ 168.8 │ 6.3 │      │  200  │  2080000  │  6022500   │ 1745312.5  │   -1600   │   -16475000   │   5210000   │  21685000   │  0.5  │      │          │     │ 200  │ 2080000  │ 0.3 │
│   10    │ 10.45 │ 10.45 │ 10.4  │ 10.4  │     │         │   6200    │  3500   │ 36570000 │ 64495000  │ 1675864800000 │ '2023-02-08T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 575 │ 168.8 │ 6.3 │      │ 3500  │ 36570000  │  6022500   │ 1745312.5  │   1900    │   20095000    │  41780000   │  21685000   │  8.6  │      │          │     │ 3500 │ 36570000 │ 6.1 │
