┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 27.8 │ 27.8 │ 27.5 │ 27.5 │ 3600 │ 99925000 │   3600    │  3600   │ 99925000 │ 99925000  │ 1675862040000 │ '2023-02-08T13:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 555.6 │  0  │  9  │ 3600  │ 99925000  │ 11102777.8 │ 15444444.4 │   3600    │   99925000    │  99925000   │      0      │  23   │      │          │     │
│    1    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   4100    │   500   │ 13900000 │ 113825000 │ 1675862160000 │ '2023-02-08T13:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -500  │ -13900000 │ 11102777.8 │ 15444444.4 │   3100    │   86025000    │  99925000   │  13900000   │  3.2  │ 500  │ 13900000 │ 0.9 │
│    2    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   5100    │  1000   │ 27800000 │ 141625000 │ 1675862400000 │ '2023-02-08T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -1000 │ -27800000 │ 11102777.8 │ 15444444.4 │   2100    │   58225000    │  99925000   │  41700000   │  6.4  │ 1000 │ 27800000 │ 1.8 │
│    3    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   5200    │   100   │ 2780000  │ 144405000 │ 1675863240000 │ '2023-02-08T13:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -100  │ -2780000  │ 11102777.8 │ 15444444.4 │   2000    │   55445000    │  99925000   │  44480000   │  0.6  │ 100  │ 2780000  │ 0.2 │
│    4    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   5300    │   100   │ 2780000  │ 147185000 │ 1675863360000 │ '2023-02-08T13:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -100  │ -2780000  │ 11102777.8 │ 15444444.4 │   1900    │   52665000    │  99925000   │  47260000   │  0.6  │ 100  │ 2780000  │ 0.2 │
│    5    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   5800    │   500   │ 13900000 │ 161085000 │ 1675863480000 │ '2023-02-08T13:38:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -500  │ -13900000 │ 11102777.8 │ 15444444.4 │   1400    │   38765000    │  99925000   │  61160000   │  3.2  │ 500  │ 13900000 │ 0.9 │
│    6    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   7800    │  2000   │ 55600000 │ 216685000 │ 1675864200000 │ '2023-02-08T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -2000 │ -55600000 │ 11102777.8 │ 15444444.4 │   -600    │   -16835000   │  99925000   │  116760000  │ 12.8  │ 2000 │ 55600000 │ 3.6 │
│    7    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   8400    │   600   │ 16680000 │ 233365000 │ 1675864800000 │ '2023-02-08T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -600  │ -16680000 │ 11102777.8 │ 15444444.4 │   -1200   │   -33515000   │  99925000   │  133440000  │  3.8  │ 600  │ 16680000 │ 1.1 │
│    8    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │      │          │   8600    │   200   │ 5560000  │ 238925000 │ 1675866000000 │ '2023-02-08T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 555.6 │  0  │     │ -200  │ -5560000  │ 11102777.8 │ 15444444.4 │   -1400   │   -39075000   │  99925000   │  139000000  │  1.3  │ 200  │ 5560000  │ 0.4 │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

