┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │  auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │  val_bu  │ rbu │  uk  │  val_uk  │ ruk │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 26800 │ 26800 │ 26800 │ 26800 │ 200 │ 5360000 │    200    │   200   │ 5360000  │ 5360000  │ 1678698300000 │ '2023-03-13T09:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 188.9 │ 22.2 │ 111.1 │  9  │ -200  │ -5360000  │  5090000   │  595555.6  │   -200    │   -5360000    │      0      │   5360000   │ -1.2  │     │          │     │      │          │     │
│    1    │ 26900 │ 26900 │ 26900 │ 26900 │     │         │    300    │   100   │ 2690000  │ 8050000  │ 1678700400000 │ '2023-03-13T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  100  │  2690000  │  5090000   │  595555.6  │   -100    │   -2670000    │   2690000   │   5360000   │  0.6  │ 100 │ 2690000  │ 0.5 │      │          │     │
│    2    │ 26900 │ 26900 │ 26900 │ 26900 │     │         │    600    │   300   │ 8070000  │ 16120000 │ 1678700700000 │ '2023-03-13T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  300  │  8070000  │  5090000   │  595555.6  │    200    │    5400000    │  10760000   │   5360000   │  1.8  │ 300 │ 8070000  │ 1.6 │      │          │     │
│    3    │ 26900 │ 26900 │ 26900 │ 26900 │     │         │    700    │   100   │ 2690000  │ 18810000 │ 1678701600000 │ '2023-03-13T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  100  │  2690000  │  5090000   │  595555.6  │    300    │    8090000    │  13450000   │   5360000   │  0.6  │ 100 │ 2690000  │ 0.5 │      │          │     │
│    4    │ 26900 │ 26900 │ 26900 │ 26900 │     │         │   1100    │   400   │ 10760000 │ 29570000 │ 1678702200000 │ '2023-03-13T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  400  │ 10760000  │  5090000   │  595555.6  │    700    │   18850000    │  24210000   │   5360000   │  2.4  │ 400 │ 10760000 │ 2.1 │      │          │     │
│    5    │ 26900 │ 26900 │ 26900 │ 26900 │     │         │   2100    │  1000   │ 26900000 │ 56470000 │ 1678704900000 │ '2023-03-13T10:55:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 188.9 │ 22.2 │ 111.1 │     │   0   │     0     │  5090000   │  595555.6  │    700    │   18850000    │  24210000   │   5360000   │   0   │     │          │     │ 1000 │ 26900000 │  9  │
│    6    │ 27000 │ 27000 │ 27000 │ 27000 │     │         │   2300    │   200   │ 5400000  │ 61870000 │ 1678713300000 │ '2023-03-13T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  200  │  5400000  │  5090000   │  595555.6  │    900    │   24250000    │  29610000   │   5360000   │  1.2  │ 200 │ 5400000  │ 1.1 │      │          │     │
│    7    │ 27000 │ 27000 │ 27000 │ 27000 │     │         │   2400    │   100   │ 2700000  │ 64570000 │ 1678713900000 │ '2023-03-13T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  100  │  2700000  │  5090000   │  595555.6  │   1000    │   26950000    │  32310000   │   5360000   │  0.6  │ 100 │ 2700000  │ 0.5 │      │          │     │
│    8    │ 27000 │ 27000 │ 27000 │ 27000 │     │         │   2900    │   500   │ 13500000 │ 78070000 │ 1678716000000 │ '2023-03-13T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 188.9 │ 22.2 │ 111.1 │     │  500  │ 13500000  │  5090000   │  595555.6  │   1500    │   40450000    │  45810000   │   5360000   │   3   │ 500 │ 13500000 │ 2.6 │      │          │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴──────────┴─────┴──────┴──────────┴─────┘

