┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ uk  │ val_uk │ ruk │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼────────┼─────┼──────┼──────────┼─────┤
│    0    │ 5700 │ 5700 │ 5700 │ 5700 │ 500  │ 2850000 │    500    │   500   │ 2850000  │ 2850000  │ 1678672800000 │ '2023-03-13T02:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 136.4 │ 900 │ 9.1 │ 3.7 │  500  │  2850000  │  786363.6  │  5130000   │    500    │    2850000    │   2850000   │      0      │ -0.7  │     │        │     │      │          │     │
│    1    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │    600    │   100   │  570000  │ 3420000  │ 1678698600000 │ '2023-03-13T09:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 136.4 │ 900 │ 9.1 │     │   0   │     0     │  786363.6  │  5130000   │    500    │    2850000    │   2850000   │      0      │  -0   │ 100 │ 570000 │ 11  │      │          │     │
│    2    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   3100    │  2500   │ 14250000 │ 17670000 │ 1678700400000 │ '2023-03-13T09:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -2500 │ -14250000 │  786363.6  │  5130000   │   -2000   │   -11400000   │   2850000   │  14250000   │  3.3  │     │        │     │ 2500 │ 14250000 │ 2.8 │
│    3    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   5100    │  2000   │ 11400000 │ 29070000 │ 1678700700000 │ '2023-03-13T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -2000 │ -11400000 │  786363.6  │  5130000   │   -4000   │   -22800000   │   2850000   │  25650000   │  2.6  │     │        │     │ 2000 │ 11400000 │ 2.2 │
│    4    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   6500    │  1400   │ 7980000  │ 37050000 │ 1678701000000 │ '2023-03-13T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -1400 │ -7980000  │  786363.6  │  5130000   │   -5400   │   -30780000   │   2850000   │  33630000   │  1.8  │     │        │     │ 1400 │ 7980000  │ 1.6 │
│    5    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   6800    │   300   │ 1710000  │ 38760000 │ 1678701900000 │ '2023-03-13T10:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -300  │ -1710000  │  786363.6  │  5130000   │   -5700   │   -32490000   │   2850000   │  35340000   │  0.4  │     │        │     │ 300  │ 1710000  │ 0.3 │
│    6    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   7300    │   500   │ 2850000  │ 41610000 │ 1678702500000 │ '2023-03-13T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -500  │ -2850000  │  786363.6  │  5130000   │   -6200   │   -35340000   │   2850000   │  38190000   │  0.7  │     │        │     │ 500  │ 2850000  │ 0.6 │
│    7    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   7400    │   100   │  570000  │ 42180000 │ 1678703100000 │ '2023-03-13T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -100  │  -570000  │  786363.6  │  5130000   │   -6300   │   -35910000   │   2850000   │  38760000   │  0.1  │     │        │     │ 100  │  570000  │ 0.1 │
│    8    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   8400    │  1000   │ 5700000  │ 47880000 │ 1678715100000 │ '2023-03-13T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -1000 │ -5700000  │  786363.6  │  5130000   │   -7300   │   -41610000   │   2850000   │  44460000   │  1.3  │     │        │     │ 1000 │ 5700000  │ 1.1 │
│    9    │ 5800 │ 5800 │ 5800 │ 5800 │ 1000 │ 5800000 │   9400    │  1000   │ 5800000  │ 53680000 │ 1678717500000 │ '2023-03-13T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 136.4 │ 900 │ 9.1 │ 7.3 │ 1000  │  5800000  │  786363.6  │  5130000   │   -6300   │   -35810000   │   8650000   │  44460000   │ -1.3  │     │        │     │      │          │     │
│   10    │ 5700 │ 5700 │ 5700 │ 5700 │      │         │   11500   │  2100   │ 11970000 │ 65650000 │ 1678718700000 │ '2023-03-13T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 136.4 │ 900 │ 9.1 │     │ -2100 │ -11970000 │  786363.6  │  5130000   │   -8400   │   -47780000   │   8650000   │  56430000   │  2.8  │     │        │     │ 2100 │ 11970000 │ 2.3 │
└─────────┴──────┴──────┴──────┴──────┴──────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴────────┴─────┴──────┴──────────┴─────┘

