┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬────────┬─────┬─────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd   │ auk │ rbu │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼────────┼─────┼─────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┤
│    0    │ 1800 │ 1800 │ 1800 │ 1800 │ 100 │ 180000 │    100    │   100   │  180000  │  180000   │ 1678698300000 │ '2023-03-13T09:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 27.3 │ 5672.7 │  0  │ 3.7 │  100   │  180000   │  49090.9   │ 9643636.4  │    100    │    180000     │   180000    │      0      │  -0   │       │          │     │
│    1    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   7200    │  7100   │ 12070000 │ 12250000  │ 1678698900000 │ '2023-03-13T09:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -7100  │ -12070000 │  49090.9   │ 9643636.4  │   -7000   │   -11890000   │   180000    │  12070000   │  1.3  │ 7100  │ 12070000 │ 1.3 │
│    2    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   29200   │  22000  │ 37400000 │ 49650000  │ 1678699200000 │ '2023-03-13T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -22000 │ -37400000 │  49090.9   │ 9643636.4  │  -29000   │   -49290000   │   180000    │  49470000   │  3.9  │ 22000 │ 37400000 │ 3.9 │
│    3    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   34200   │  5000   │ 8500000  │ 58150000  │ 1678701300000 │ '2023-03-13T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -5000  │ -8500000  │  49090.9   │ 9643636.4  │  -34000   │   -57790000   │   180000    │  57970000   │  0.9  │ 5000  │ 8500000  │ 0.9 │
│    4    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   34700   │   500   │  850000  │ 59000000  │ 1678704300000 │ '2023-03-13T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │  -500  │  -850000  │  49090.9   │ 9643636.4  │  -34500   │   -58640000   │   180000    │  58820000   │  0.1  │  500  │  850000  │ 0.1 │
│    5    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   36400   │  1700   │ 2890000  │ 61890000  │ 1678704600000 │ '2023-03-13T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -1700  │ -2890000  │  49090.9   │ 9643636.4  │  -36200   │   -61530000   │   180000    │  61710000   │  0.3  │ 1700  │ 2890000  │ 0.3 │
│    6    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   36700   │   300   │  510000  │ 62400000  │ 1678712400000 │ '2023-03-13T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │  -300  │  -510000  │  49090.9   │ 9643636.4  │  -36500   │   -62040000   │   180000    │  62220000   │  0.1  │  300  │  510000  │ 0.1 │
│    7    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   38000   │  1300   │ 2210000  │ 64610000  │ 1678713600000 │ '2023-03-13T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -1300  │ -2210000  │  49090.9   │ 9643636.4  │  -37800   │   -64250000   │   180000    │  64430000   │  0.2  │ 1300  │ 2210000  │ 0.2 │
│    8    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   59500   │  21500  │ 36550000 │ 101160000 │ 1678714200000 │ '2023-03-13T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -21500 │ -36550000 │  49090.9   │ 9643636.4  │  -59300   │  -100800000   │   180000    │  100980000  │  3.8  │ 21500 │ 36550000 │ 3.8 │
│    9    │ 1700 │ 1700 │ 1700 │ 1700 │     │        │   62500   │  3000   │ 5100000  │ 106260000 │ 1678715700000 │ '2023-03-13T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 5672.7 │  0  │     │ -3000  │ -5100000  │  49090.9   │ 9643636.4  │  -62300   │  -105900000   │   180000    │  106080000  │  0.5  │ 3000  │ 5100000  │ 0.5 │
│   10    │ 1800 │ 1800 │ 1800 │ 1800 │ 200 │ 360000 │   62700   │   200   │  360000  │ 106620000 │ 1678718700000 │ '2023-03-13T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 27.3 │ 5672.7 │  0  │ 7.3 │  200   │  360000   │  49090.9   │ 9643636.4  │  -62100   │  -105540000   │   540000    │  106080000  │  -0   │       │          │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴────────┴─────┴─────┴────────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴──────────┴─────┘

