┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 16800 │ 16800 │ 16800 │ 16800 │ 100 │ 1680000 │    100    │   100   │ 1680000  │  1680000  │ 1678698600000 │ '2023-03-13T09:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 220 │ 500 │ 10  │ 10  │   0   │     0     │  3678000   │  8310000   │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │          │     │
│    1    │ 16800 │ 16800 │ 16800 │ 16800 │     │         │    600    │   500   │ 8400000  │ 10080000  │ 1678699500000 │ '2023-03-13T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 220 │ 500 │ 10  │     │ -500  │ -8400000  │  3678000   │  8310000   │   -500    │   -8400000    │      0      │   8400000   │  1.8  │ 500  │ 8400000  │  1  │      │          │     │
│    2    │ 16600 │ 16600 │ 16600 │ 16600 │     │         │   1100    │   500   │ 8300000  │ 18380000  │ 1678700100000 │ '2023-03-13T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 220 │ 500 │ 10  │     │  500  │  8300000  │  3678000   │  8310000   │     0     │    -100000    │   8300000   │   8400000   │ -1.8  │      │          │     │ 500  │ 8300000  │ 2.3 │
│    3    │ 16600 │ 16600 │ 16600 │ 16600 │     │         │   2100    │  1000   │ 16600000 │ 34980000  │ 1678701300000 │ '2023-03-13T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 220 │ 500 │ 10  │     │ 1000  │ 16600000  │  3678000   │  8310000   │   1000    │   16500000    │  24900000   │   8400000   │ -3.6  │      │          │     │ 1000 │ 16600000 │ 4.5 │
│    4    │ 16600 │ 16600 │ 16600 │ 16600 │     │         │   2300    │   200   │ 3320000  │ 38300000  │ 1678702800000 │ '2023-03-13T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 220 │ 500 │ 10  │     │  200  │  3320000  │  3678000   │  8310000   │   1200    │   19820000    │  28220000   │   8400000   │ -0.7  │      │          │     │ 200  │ 3320000  │ 0.9 │
│    5    │ 16600 │ 16600 │ 16600 │ 16600 │     │         │   6600    │  4300   │ 71380000 │ 109680000 │ 1678712400000 │ '2023-03-13T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 220 │ 500 │ 10  │     │ -4300 │ -71380000 │  3678000   │  8310000   │   -3100   │   -51560000   │  28220000   │  79780000   │ 15.4  │ 4300 │ 71380000 │ 8.6 │      │          │     │
│    6    │ 16600 │ 16600 │ 16600 │ 16600 │     │         │   6800    │   200   │ 3320000  │ 113000000 │ 1678713300000 │ '2023-03-13T13:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 220 │ 500 │ 10  │     │ -200  │ -3320000  │  3678000   │  8310000   │   -3300   │   -54880000   │  28220000   │  83100000   │  0.7  │ 200  │ 3320000  │ 0.4 │      │          │     │
│    7    │ 16600 │ 16600 │ 16600 │ 16600 │     │         │   7100    │   300   │ 4980000  │ 117980000 │ 1678714800000 │ '2023-03-13T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 220 │ 500 │ 10  │     │  300  │  4980000  │  3678000   │  8310000   │   -3000   │   -49900000   │  33200000   │  83100000   │ -1.1  │      │          │     │ 300  │ 4980000  │ 1.4 │
│    8    │ 17900 │ 17900 │ 17900 │ 17900 │     │         │   7200    │   100   │ 1790000  │ 119770000 │ 1678715100000 │ '2023-03-13T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 220 │ 500 │ 10  │     │  100  │  1790000  │  3678000   │  8310000   │   -2900   │   -48110000   │  34990000   │  83100000   │ -0.4  │      │          │     │ 100  │ 1790000  │ 0.5 │
│    9    │ 17900 │ 17900 │ 17900 │ 17900 │     │         │   7300    │   100   │ 1790000  │ 121560000 │ 1678715700000 │ '2023-03-13T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 220 │ 500 │ 10  │     │  100  │  1790000  │  3678000   │  8310000   │   -2800   │   -46320000   │  36780000   │  83100000   │ -0.4  │      │          │     │ 100  │ 1790000  │ 0.5 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

