┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼─────┼─────────┼─────┤
│    0    │ 11150 │ 11150 │ 11150 │ 11150 │ 100 │ 1115000 │    100    │   100   │ 1115000 │ 1115000  │ 1678698900000 │ '2023-03-13T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 90  │ 180 │ 10  │ 10  │   0   │     0     │  1003000   │  1997500   │     0     │       0       │      0      │      0      │  -0   │     │         │     │     │         │     │
│    1    │ 11150 │ 11150 │ 11150 │ 11150 │     │         │    900    │   800   │ 8920000 │ 10035000 │ 1678700700000 │ '2023-03-13T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 90  │ 180 │ 10  │     │ -800  │ -8920000  │  1003000   │  1997500   │   -800    │   -8920000    │      0      │   8920000   │   9   │ 800 │ 8920000 │ 4.4 │     │         │     │
│    2    │ 11150 │ 11150 │ 11150 │ 11150 │     │         │   1100    │   200   │ 2230000 │ 12265000 │ 1678702500000 │ '2023-03-13T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 90  │ 180 │ 10  │     │  200  │  2230000  │  1003000   │  1997500   │   -600    │   -6690000    │   2230000   │   8920000   │ -2.2  │     │         │     │ 200 │ 2230000 │ 2.2 │
│    3    │ 11150 │ 11150 │ 11150 │ 11150 │     │         │   1700    │   600   │ 6690000 │ 18955000 │ 1678703700000 │ '2023-03-13T10:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 90  │ 180 │ 10  │     │ -600  │ -6690000  │  1003000   │  1997500   │   -1200   │   -13380000   │   2230000   │  15610000   │  6.7  │ 600 │ 6690000 │ 3.3 │     │         │     │
│    4    │ 11100 │ 11100 │ 11100 │ 11100 │     │         │   1900    │   200   │ 2220000 │ 21175000 │ 1678706100000 │ '2023-03-13T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 90  │ 180 │ 10  │     │  200  │  2220000  │  1003000   │  1997500   │   -1000   │   -11160000   │   4450000   │  15610000   │ -2.2  │     │         │     │ 200 │ 2220000 │ 2.2 │
│    5    │ 11150 │ 11150 │ 11150 │ 11150 │     │         │   2100    │   200   │ 2230000 │ 23405000 │ 1678712400000 │ '2023-03-13T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 90  │ 180 │ 10  │     │  200  │  2230000  │  1003000   │  1997500   │   -800    │   -8930000    │   6680000   │  15610000   │ -2.2  │     │         │     │ 200 │ 2230000 │ 2.2 │
│    6    │ 11150 │ 11150 │ 11150 │ 11150 │     │         │   2200    │   100   │ 1115000 │ 24520000 │ 1678713300000 │ '2023-03-13T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 90  │ 180 │ 10  │     │  100  │  1115000  │  1003000   │  1997500   │   -700    │   -7815000    │   7795000   │  15610000   │ -1.1  │     │         │     │ 100 │ 1115000 │ 1.1 │
│    7    │ 10900 │ 10950 │ 10900 │ 10950 │     │         │   2600    │   400   │ 4365000 │ 28885000 │ 1678713600000 │ '2023-03-13T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 90  │ 180 │ 10  │     │ -400  │ -4365000  │  1003000   │  1997500   │   -1100   │   -12180000   │   7795000   │  19975000   │  4.4  │ 400 │ 4365000 │ 2.2 │     │         │     │
│    8    │ 11150 │ 11150 │ 11150 │ 11150 │     │         │   2700    │   100   │ 1115000 │ 30000000 │ 1678717500000 │ '2023-03-13T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 90  │ 180 │ 10  │     │  100  │  1115000  │  1003000   │  1997500   │   -1000   │   -11065000   │   8910000   │  19975000   │ -1.1  │     │         │     │ 100 │ 1115000 │ 1.1 │
│    9    │ 11200 │ 11200 │ 11200 │ 11200 │     │         │   2800    │   100   │ 1120000 │ 31120000 │ 1678718700000 │ '2023-03-13T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 90  │ 180 │ 10  │     │  100  │  1120000  │  1003000   │  1997500   │   -900    │   -9945000    │  10030000   │  19975000   │ -1.1  │     │         │     │ 100 │ 1120000 │ 1.1 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴─────┴─────────┴─────┘

