┌─────────┬─────┬─────┬─────┬─────┬─────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │ 6.1 │ 6.1 │ 6.1 │ 6.1 │ 300 │ 1830000 │    300    │   300   │ 1830000 │ 1830000  │ 1675070280000 │ '2023-01-30T09:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 518.2 │ 27.3 │  0  │ 11  │ -300  │ -1830000  │ 3260909.1  │  166363.6  │   -300    │   -1830000    │      0      │   1830000   │  0.6  │      │         │     │
│    1    │ 6.1 │ 6.1 │ 6.1 │ 6.1 │     │         │    500    │   200   │ 1220000 │ 3050000  │ 1675071840000 │ '2023-01-30T09:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  200  │  1220000  │ 3260909.1  │  166363.6  │   -100    │    -610000    │   1220000   │   1830000   │  0.4  │ 200  │ 1220000 │ 0.4 │
│    2    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │    700    │   200   │ 1260000 │ 4310000  │ 1675077720000 │ '2023-01-30T11:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  200  │  1260000  │ 3260909.1  │  166363.6  │    100    │    650000     │   2480000   │   1830000   │  0.4  │ 200  │ 1260000 │ 0.4 │
│    3    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   1400    │   700   │ 4410000 │ 8720000  │ 1675077960000 │ '2023-01-30T11:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  700  │  4410000  │ 3260909.1  │  166363.6  │    800    │    5060000    │   6890000   │   1830000   │  1.4  │ 700  │ 4410000 │ 1.4 │
│    4    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   1800    │   400   │ 2520000 │ 11240000 │ 1675083600000 │ '2023-01-30T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  400  │  2520000  │ 3260909.1  │  166363.6  │   1200    │    7580000    │   9410000   │   1830000   │  0.8  │ 400  │ 2520000 │ 0.8 │
│    5    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   2000    │   200   │ 1260000 │ 12500000 │ 1675084080000 │ '2023-01-30T13:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  200  │  1260000  │ 3260909.1  │  166363.6  │   1400    │    8840000    │  10670000   │   1830000   │  0.4  │ 200  │ 1260000 │ 0.4 │
│    6    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   3500    │  1500   │ 9450000 │ 21950000 │ 1675084320000 │ '2023-01-30T13:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │ 1500  │  9450000  │ 3260909.1  │  166363.6  │   2900    │   18290000    │  20120000   │   1830000   │  3.1  │ 1500 │ 9450000 │ 2.9 │
│    7    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   3800    │   300   │ 1890000 │ 23840000 │ 1675084800000 │ '2023-01-30T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  300  │  1890000  │ 3260909.1  │  166363.6  │   3200    │   20180000    │  22010000   │   1830000   │  0.6  │ 300  │ 1890000 │ 0.6 │
│    8    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   5300    │  1500   │ 9450000 │ 33290000 │ 1675085160000 │ '2023-01-30T13:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │ 1500  │  9450000  │ 3260909.1  │  166363.6  │   4700    │   29630000    │  31460000   │   1830000   │  3.1  │ 1500 │ 9450000 │ 2.9 │
│    9    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   5600    │   300   │ 1890000 │ 35180000 │ 1675088280000 │ '2023-01-30T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  300  │  1890000  │ 3260909.1  │  166363.6  │   5000    │   31520000    │  33350000   │   1830000   │  0.6  │ 300  │ 1890000 │ 0.6 │
│   10    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │     │         │   6000    │   400   │ 2520000 │ 37700000 │ 1675089000000 │ '2023-01-30T14:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.2 │ 27.3 │  0  │     │  400  │  2520000  │ 3260909.1  │  166363.6  │   5400    │   34040000    │  35870000   │   1830000   │  0.8  │ 400  │ 2520000 │ 0.8 │
└─────────┴─────┴─────┴─────┴─────┴─────┴─────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┘

