┌─────────┬─────┬─────┬─────┬─────┬──────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬──────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │ auk  │ rsd  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  uk  │ val_uk  │ ruk │
├─────────┼─────┼─────┼─────┼─────┼──────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼──────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │ 1900 │ 6270000 │   1900    │  1900   │ 6270000  │ 6270000  │ 1675071360000 │ '2023-01-30T09:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1388.2 │ 117.6 │ 64.7 │ 16.2 │ -1900 │ -6270000  │ 4943529.4  │  389411.8  │   -1900   │   -6270000    │      0      │   6270000   │  1.4  │      │          │     │      │         │     │
│    1    │ 3.4 │ 3.4 │ 3.4 │ 3.4 │      │         │   2600    │   700   │ 2380000  │ 8650000  │ 1675074600000 │ '2023-01-30T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │  700  │  2380000  │ 4943529.4  │  389411.8  │   -1200   │   -3890000    │   2380000   │   6270000   │  0.5  │ 700  │ 2380000  │ 0.5 │      │         │     │
│    2    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │      │         │   2700    │   100   │  350000  │ 9000000  │ 1675075560000 │ '2023-01-30T10:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │  100  │  350000   │ 4943529.4  │  389411.8  │   -1100   │   -3540000    │   2730000   │   6270000   │  0.1  │ 100  │  350000  │ 0.1 │      │         │     │
│    3    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │      │         │   3700    │  1000   │ 3500000  │ 12500000 │ 1675076520000 │ '2023-01-30T11:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │ 1000  │  3500000  │ 4943529.4  │  389411.8  │   -100    │    -40000     │   6230000   │   6270000   │  0.8  │ 1000 │ 3500000  │ 0.7 │      │         │     │
│    4    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │      │         │   5200    │  1500   │ 5250000  │ 17750000 │ 1675084680000 │ '2023-01-30T13:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │ 1500  │  5250000  │ 4943529.4  │  389411.8  │   1400    │    5210000    │  11480000   │   6270000   │  1.2  │ 1500 │ 5250000  │ 1.1 │      │         │     │
│    5    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │      │         │   10200   │  5000   │ 17500000 │ 35250000 │ 1675084800000 │ '2023-01-30T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │ 5000  │ 17500000  │ 4943529.4  │  389411.8  │   6400    │   22710000    │  28980000   │   6270000   │  3.8  │ 5000 │ 17500000 │ 3.6 │      │         │     │
│    6    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │      │         │   11300   │  1100   │ 3850000  │ 39100000 │ 1675084920000 │ '2023-01-30T13:22:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1388.2 │ 117.6 │ 64.7 │      │   0   │     0     │ 4943529.4  │  389411.8  │   6400    │   22710000    │  28980000   │   6270000   │   0   │      │          │     │ 1100 │ 3850000 │ 17  │
│    7    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │      │         │   11500   │   200   │  700000  │ 39800000 │ 1675085400000 │ '2023-01-30T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │  200  │  700000   │ 4943529.4  │  389411.8  │   6600    │   23410000    │  29680000   │   6270000   │  0.2  │ 200  │  700000  │ 0.1 │      │         │     │
│    8    │ 3.5 │ 3.5 │ 3.5 │ 3.5 │ 100  │ 350000  │   11600   │   100   │  350000  │ 40150000 │ 1675085520000 │ '2023-01-30T13:32:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1388.2 │ 117.6 │ 64.7 │ 0.9  │ -100  │  -350000  │ 4943529.4  │  389411.8  │   6500    │   23060000    │  29680000   │   6620000   │  0.1  │      │          │     │      │         │     │
│    9    │ 3.6 │ 3.6 │ 3.6 │ 3.6 │      │         │   16600   │  5000   │ 18000000 │ 58150000 │ 1675086120000 │ '2023-01-30T13:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │ 5000  │ 18000000  │ 4943529.4  │  389411.8  │   11500   │   41060000    │  47680000   │   6620000   │   4   │ 5000 │ 18000000 │ 3.6 │      │         │     │
│   10    │ 3.6 │ 3.6 │ 3.6 │ 3.6 │      │         │   16700   │   100   │  360000  │ 58510000 │ 1675086840000 │ '2023-01-30T13:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1388.2 │ 117.6 │ 64.7 │      │  100  │  360000   │ 4943529.4  │  389411.8  │   11600   │   41420000    │  48040000   │   6620000   │  0.1  │ 100  │  360000  │ 0.1 │      │         │     │
