┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │  3  │  3  │  3  │  3  │ 500 │  1500  │    500    │   500   │  1500   │   1500   │ 1676021400000 │ '2023-02-10T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 525 │ 41.7 │  0  │ 12  │ -500  │   -1500   │  1522500   │    125     │   -500    │     -1500     │      0      │    1500     │  -0   │      │         │     │
│    1    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   1100    │   600   │ 1740000 │ 1741500  │ 1676021700000 │ '2023-02-10T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  600  │  1740000  │  1522500   │    125     │    100    │    1738500    │   1740000   │    1500     │  1.1  │ 600  │ 1740000 │ 1.1 │
│    2    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   2400    │  1300   │ 3770000 │ 5511500  │ 1676022000000 │ '2023-02-10T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │ 1300  │  3770000  │  1522500   │    125     │   1400    │    5508500    │   5510000   │    1500     │  2.5  │ 1300 │ 3770000 │ 2.5 │
│    3    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   3400    │  1000   │ 2900000 │ 8411500  │ 1676022300000 │ '2023-02-10T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │ 1000  │  2900000  │  1522500   │    125     │   2400    │    8408500    │   8410000   │    1500     │  1.9  │ 1000 │ 2900000 │ 1.9 │
│    4    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   3800    │   400   │ 1160000 │ 9571500  │ 1676022600000 │ '2023-02-10T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  400  │  1160000  │  1522500   │    125     │   2800    │    9568500    │   9570000   │    1500     │  0.8  │ 400  │ 1160000 │ 0.8 │
│    5    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   3900    │   100   │ 290000  │ 9861500  │ 1676022900000 │ '2023-02-10T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  100  │  290000   │  1522500   │    125     │   2900    │    9858500    │   9860000   │    1500     │  0.2  │ 100  │ 290000  │ 0.2 │
│    6    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   4600    │   700   │ 2030000 │ 11891500 │ 1676025000000 │ '2023-02-10T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  700  │  2030000  │  1522500   │    125     │   3600    │   11888500    │  11890000   │    1500     │  1.3  │ 700  │ 2030000 │ 1.3 │
│    7    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   5100    │   500   │ 1450000 │ 13341500 │ 1676025300000 │ '2023-02-10T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  500  │  1450000  │  1522500   │    125     │   4100    │   13338500    │  13340000   │    1500     │   1   │ 500  │ 1450000 │  1  │
│    8    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   6100    │  1000   │ 2900000 │ 16241500 │ 1676027100000 │ '2023-02-10T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │ 1000  │  2900000  │  1522500   │    125     │   5100    │   16238500    │  16240000   │    1500     │  1.9  │ 1000 │ 2900000 │ 1.9 │
│    9    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   6300    │   200   │ 580000  │ 16821500 │ 1676034000000 │ '2023-02-10T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  200  │  580000   │  1522500   │    125     │   5300    │   16818500    │  16820000   │    1500     │  0.4  │ 200  │ 580000  │ 0.4 │
│   10    │ 2.9 │ 2.9 │ 2.9 │ 2.9 │     │        │   6700    │   400   │ 1160000 │ 17981500 │ 1676034600000 │ '2023-02-10T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 525 │ 41.7 │  0  │     │  400  │  1160000  │  1522500   │    125     │   5700    │   17978500    │  17980000   │    1500     │  0.8  │ 400  │ 1160000 │ 0.8 │
