┌─────────┬─────┬─────┬─────┬─────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┤
│    0    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │ 700 │ 1050000 │    700    │   700   │ 1050000  │ 1050000  │ 1675994400000 │ '2023-02-10T02:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 2458.3 │ 58.3 │  0  │ 12  │ -700  │ -1050000  │  3687500   │   87500    │   -700    │   -1050000    │      0      │   1050000   │ -0.3  │       │          │     │
│    1    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   25000   │  24300  │ 36450000 │ 37500000 │ 1676019600000 │ '2023-02-10T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │ 24300 │ 36450000  │  3687500   │   87500    │   23600   │   35400000    │  36450000   │   1050000   │ 10.1  │ 24300 │ 36450000 │ 9.9 │
│    2    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   26800   │  1800   │ 2700000  │ 40200000 │ 1676019900000 │ '2023-02-10T09:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │ 1800  │  2700000  │  3687500   │   87500    │   25400   │   38100000    │  39150000   │   1050000   │  0.8  │ 1800  │ 2700000  │ 0.7 │
│    3    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   28800   │  2000   │ 3000000  │ 43200000 │ 1676020200000 │ '2023-02-10T09:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │ 2000  │  3000000  │  3687500   │   87500    │   27400   │   41100000    │  42150000   │   1050000   │  0.8  │ 2000  │ 3000000  │ 0.8 │
│    4    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   28900   │   100   │  150000  │ 43350000 │ 1676020500000 │ '2023-02-10T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  100  │  150000   │  3687500   │   87500    │   27500   │   41250000    │  42300000   │   1050000   │   0   │  100  │  150000  │  0  │
│    5    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   29200   │   300   │  450000  │ 43800000 │ 1676021400000 │ '2023-02-10T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  300  │  450000   │  3687500   │   87500    │   27800   │   41700000    │  42750000   │   1050000   │  0.1  │  300  │  450000  │ 0.1 │
│    6    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   29400   │   200   │  300000  │ 44100000 │ 1676024400000 │ '2023-02-10T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  200  │  300000   │  3687500   │   87500    │   28000   │   42000000    │  43050000   │   1050000   │  0.1  │  200  │  300000  │ 0.1 │
│    7    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   29500   │   100   │  150000  │ 44250000 │ 1676025000000 │ '2023-02-10T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  100  │  150000   │  3687500   │   87500    │   28100   │   42150000    │  43200000   │   1050000   │   0   │  100  │  150000  │  0  │
│    8    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   29600   │   100   │  150000  │ 44400000 │ 1676027700000 │ '2023-02-10T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  100  │  150000   │  3687500   │   87500    │   28200   │   42300000    │  43350000   │   1050000   │   0   │  100  │  150000  │  0  │
│    9    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   29700   │   100   │  150000  │ 44550000 │ 1676028000000 │ '2023-02-10T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  100  │  150000   │  3687500   │   87500    │   28300   │   42450000    │  43500000   │   1050000   │   0   │  100  │  150000  │  0  │
│   10    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   30100   │   400   │  600000  │ 45150000 │ 1676028300000 │ '2023-02-10T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  400  │  600000   │  3687500   │   87500    │   28700   │   43050000    │  44100000   │   1050000   │  0.2  │  400  │  600000  │ 0.2 │
│   11    │ 1.5 │ 1.5 │ 1.5 │ 1.5 │     │         │   30200   │   100   │  150000  │ 45300000 │ 1676034900000 │ '2023-02-10T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2458.3 │ 58.3 │  0  │     │  100  │  150000   │  3687500   │   87500    │   28800   │   43200000    │  44250000   │   1050000   │   0   │  100  │  150000  │  0  │
└─────────┴─────┴─────┴─────┴─────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴──────────┴─────┘

