┌─────────┬───────┬───────┬───────┬───────┬──────┬───────────┬───────────┬─────────┬───────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬──────┬───────┬─────┬───────┬───────────┬─────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk   │ total_vol │ sum_vol │    val    │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu  │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu   │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼──────┼───────────┼───────────┼─────────┼───────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼──────┼───────┼─────┼───────┼───────────┼─────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼──────┼──────────┼─────┤
│    0    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │ 3000 │ 138900000 │   3000    │  3000   │ 138900000 │ 138900000  │ 1676022000000 │ '2023-02-10T09:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 3975 │ 93.8 │ 187.5 │ 16  │   0   │     0     │ 164815656.3 │ 4279687.5  │     0     │       0       │      0      │      0      │   0   │       │           │     │      │          │     │
│    1    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │      │           │   5000    │  2000   │ 92600000  │ 231500000  │ 1676022120000 │ '2023-02-10T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 2000  │ 92600000  │ 164815656.3 │ 4279687.5  │   2000    │   92600000    │  92600000   │      0      │  0.6  │ 2000  │ 92600000  │ 0.5 │      │          │     │
│    2    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │      │           │   5200    │   200   │  9260000  │ 240760000  │ 1676022240000 │ '2023-02-10T09:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │  200  │  9260000  │ 164815656.3 │ 4279687.5  │   2200    │   101860000   │  101860000  │      0      │  0.1  │  200  │  9260000  │ 0.1 │      │          │     │
│    3    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │      │           │   7500    │  2300   │ 106490000 │ 347250000  │ 1676022480000 │ '2023-02-10T09:48:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 2300  │ 106490000 │ 164815656.3 │ 4279687.5  │   4500    │   208350000   │  208350000  │      0      │  0.7  │ 2300  │ 106490000 │ 0.6 │      │          │     │
│    4    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │      │           │   13200   │  5700   │ 263910000 │ 611160000  │ 1676022720000 │ '2023-02-10T09:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 5700  │ 263910000 │ 164815656.3 │ 4279687.5  │   10200   │   472260000   │  472260000  │      0      │  1.6  │ 5700  │ 263910000 │ 1.4 │      │          │     │
│    5    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │      │           │   15200   │  2000   │ 92600000  │ 703760000  │ 1676022840000 │ '2023-02-10T09:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 2000  │ 92600000  │ 164815656.3 │ 4279687.5  │   12200   │   564860000   │  564860000  │      0      │  0.6  │ 2000  │ 92600000  │ 0.5 │      │          │     │
│    6    │ 46.3  │ 46.3  │ 46.3  │ 46.3  │      │           │   18200   │  3000   │ 138900000 │ 842660000  │ 1676023200000 │ '2023-02-10T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 3000  │ 138900000 │ 164815656.3 │ 4279687.5  │   15200   │   703760000   │  703760000  │      0      │  0.9  │ 3000  │ 138900000 │ 0.8 │      │          │     │
│    7    │ 46.5  │ 46.5  │ 46.3  │ 46.3  │      │           │   34100   │  15900  │ 737760000 │ 1580420000 │ 1676023560000 │ '2023-02-10T10:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 15900 │ 737760000 │ 164815656.3 │ 4279687.5  │   31100   │  1441520000   │ 1441520000  │      0      │  4.6  │ 15900 │ 737760000 │  4  │      │          │     │
│    8    │ 46.7  │ 46.7  │ 46.7  │ 46.7  │      │           │   37100   │  3000   │ 140100000 │ 1720520000 │ 1676023800000 │ '2023-02-10T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 3000  │ 140100000 │ 164815656.3 │ 4279687.5  │   34100   │  1581620000   │ 1581620000  │      0      │  0.9  │ 3000  │ 140100000 │ 0.8 │      │          │     │
│    9    │ 46.6  │ 46.6  │ 46.6  │ 46.6  │      │           │   40100   │  3000   │ 139800000 │ 1860320000 │ 1676024040000 │ '2023-02-10T10:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 3000  │ 139800000 │ 164815656.3 │ 4279687.5  │   37100   │  1721420000   │ 1721420000  │      0      │  0.9  │ 3000  │ 139800000 │ 0.8 │      │          │     │
│   10    │ 46.8  │ 46.8  │ 46.8  │ 46.8  │      │           │   42100   │  2000   │ 93600000  │ 1953920000 │ 1676024160000 │ '2023-02-10T10:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 3975 │ 93.8 │ 187.5 │     │ 2000  │ 93600000  │ 164815656.3 │ 4279687.5  │   39100   │  1815020000   │ 1815020000  │      0      │  0.6  │ 2000  │ 93600000  │ 0.5 │      │          │     │
