┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  sd  │  val_sd  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu   │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┤
│    0    │ 48700 │ 48700 │ 48700 │ 48700 │ 2000 │ 97400000 │   2000    │  2000   │ 97400000  │ 97400000  │ 1678094100000 │ '2023-03-06T09:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1191.7 │ 166.7 │  0  │ 12  │ -2000 │ -97400000 │ 57795833.3 │ 8116666.7  │   -2000   │   -97400000   │      0      │  97400000   │  -2   │      │           │     │
│    1    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   4500    │  2500   │ 121250000 │ 218650000 │ 1678094400000 │ '2023-03-06T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │ 2500  │ 121250000 │ 57795833.3 │ 8116666.7  │    500    │   23850000    │  121250000  │  97400000   │  2.4  │ 2500 │ 121250000 │ 2.1 │
│    2    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   6300    │  1800   │ 87300000  │ 305950000 │ 1678095000000 │ '2023-03-06T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │ 1800  │ 87300000  │ 57795833.3 │ 8116666.7  │   2300    │   111150000   │  208550000  │  97400000   │  1.8  │ 1800 │ 87300000  │ 1.5 │
│    3    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   9300    │  3000   │ 145500000 │ 451450000 │ 1678095300000 │ '2023-03-06T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │ 3000  │ 145500000 │ 57795833.3 │ 8116666.7  │   5300    │   256650000   │  354050000  │  97400000   │  2.9  │ 3000 │ 145500000 │ 2.5 │
│    4    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   9500    │   200   │  9700000  │ 461150000 │ 1678096800000 │ '2023-03-06T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  200  │  9700000  │ 57795833.3 │ 8116666.7  │   5500    │   266350000   │  363750000  │  97400000   │  0.2  │ 200  │  9700000  │ 0.2 │
│    5    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   9600    │   100   │  4850000  │ 466000000 │ 1678097100000 │ '2023-03-06T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  100  │  4850000  │ 57795833.3 │ 8116666.7  │   5600    │   271200000   │  368600000  │  97400000   │  0.1  │ 100  │  4850000  │ 0.1 │
│    6    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   10000   │   400   │ 19400000  │ 485400000 │ 1678098000000 │ '2023-03-06T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  400  │ 19400000  │ 57795833.3 │ 8116666.7  │   6000    │   290600000   │  388000000  │  97400000   │  0.4  │ 400  │ 19400000  │ 0.3 │
│    7    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   10300   │   300   │ 14550000  │ 499950000 │ 1678098600000 │ '2023-03-06T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  300  │ 14550000  │ 57795833.3 │ 8116666.7  │   6300    │   305150000   │  402550000  │  97400000   │  0.3  │ 300  │ 14550000  │ 0.3 │
│    8    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   10400   │   100   │  4850000  │ 504800000 │ 1678100400000 │ '2023-03-06T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  100  │  4850000  │ 57795833.3 │ 8116666.7  │   6400    │   310000000   │  407400000  │  97400000   │  0.1  │ 100  │  4850000  │ 0.1 │
│    9    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   10800   │   400   │ 19400000  │ 524200000 │ 1678101600000 │ '2023-03-06T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  400  │ 19400000  │ 57795833.3 │ 8116666.7  │   6800    │   329400000   │  426800000  │  97400000   │  0.4  │ 400  │ 19400000  │ 0.3 │
│   10    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   11200   │   400   │ 19400000  │ 543600000 │ 1678109400000 │ '2023-03-06T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │  400  │ 19400000  │ 57795833.3 │ 8116666.7  │   7200    │   348800000   │  446200000  │  97400000   │  0.4  │ 400  │ 19400000  │ 0.3 │
│   11    │ 48500 │ 48500 │ 48500 │ 48500 │      │          │   16300   │  5100   │ 247350000 │ 790950000 │ 1678113600000 │ '2023-03-06T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1191.7 │ 166.7 │  0  │     │ 5100  │ 247350000 │ 57795833.3 │ 8116666.7  │   12300   │   596150000   │  693550000  │  97400000   │   5   │ 5100 │ 247350000 │ 4.3 │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴───────────┴─────┘

