┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 5070 │ 5070 │ 5070 │ 5070 │ 200 │ 1014000 │    200    │   200   │ 1014000  │ 1014000  │ 1678094100000 │ '2023-03-06T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 400 │ 681.8 │ 18.2 │ 11  │   0   │     0     │ 2006363.6  │ 3400363.6  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │         │     │
│    1    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │    300    │   100   │  500000  │ 1514000  │ 1678095000000 │ '2023-03-06T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 681.8 │ 18.2 │     │ -100  │  -500000  │ 2006363.6  │ 3400363.6  │   -100    │    -500000    │      0      │   500000    │  0.4  │ 100  │  500000  │ 0.1 │      │         │     │
│    2    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │    400    │   100   │  490000  │ 2004000  │ 1678096200000 │ '2023-03-06T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 681.8 │ 18.2 │     │ -100  │  -490000  │ 2006363.6  │ 3400363.6  │   -200    │    -990000    │      0      │   990000    │  0.4  │ 100  │  490000  │ 0.1 │      │         │     │
│    3    │ 5060 │ 5060 │ 5000 │ 5000 │     │         │    900    │  1400   │ 7065000  │ 9069000  │ 1678096800000 │ '2023-03-06T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 681.8 │ 18.2 │     │ 1400  │  7065000  │ 2006363.6  │ 3400363.6  │   1200    │    6075000    │   7065000   │   990000    │ -5.1  │      │          │     │ 1400 │ 7065000 │ 3.5 │
│    4    │ 5020 │ 5020 │ 5020 │ 5020 │     │         │   2000    │   200   │ 1004000  │ 10073000 │ 1678098900000 │ '2023-03-06T10:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 681.8 │ 18.2 │     │ -200  │ -1004000  │ 2006363.6  │ 3400363.6  │   1000    │    5071000    │   7065000   │   1994000   │  0.7  │ 200  │ 1004000  │ 0.3 │      │         │     │
│    5    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   2100    │   100   │  500000  │ 10573000 │ 1678107600000 │ '2023-03-06T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 681.8 │ 18.2 │     │  100  │  500000   │ 2006363.6  │ 3400363.6  │   1100    │    5571000    │   7565000   │   1994000   │ -0.4  │      │          │     │ 100  │ 500000  │ 0.3 │
│    6    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   3000    │   900   │ 4500000  │ 15073000 │ 1678108500000 │ '2023-03-06T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 681.8 │ 18.2 │     │  900  │  4500000  │ 2006363.6  │ 3400363.6  │   2000    │   10071000    │  12065000   │   1994000   │ -3.2  │      │          │     │ 900  │ 4500000 │ 2.3 │
│    7    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   4900    │  1900   │ 9500000  │ 24573000 │ 1678108800000 │ '2023-03-06T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 681.8 │ 18.2 │     │ 1900  │  9500000  │ 2006363.6  │ 3400363.6  │   3900    │   19571000    │  21565000   │   1994000   │ -6.8  │      │          │     │ 1900 │ 9500000 │ 4.8 │
│    8    │ 5050 │ 5050 │ 5050 │ 5050 │     │         │   5000    │   100   │  505000  │ 25078000 │ 1678109100000 │ '2023-03-06T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 681.8 │ 18.2 │     │  100  │  505000   │ 2006363.6  │ 3400363.6  │   4000    │   20076000    │  22070000   │   1994000   │ -0.4  │      │          │     │ 100  │ 505000  │ 0.3 │
│    9    │ 5000 │ 5000 │ 5000 │ 5000 │     │         │   11100   │  6100   │ 30500000 │ 55578000 │ 1678111200000 │ '2023-03-06T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 681.8 │ 18.2 │     │ -6100 │ -30500000 │ 2006363.6  │ 3400363.6  │   -2100   │   -10424000   │  22070000   │  32494000   │ 21.9  │ 6100 │ 30500000 │ 8.9 │      │         │     │
│   10    │ 4910 │ 4910 │ 4910 │ 4910 │     │         │   12100   │  1000   │ 4910000  │ 60488000 │ 1678113900000 │ '2023-03-06T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 681.8 │ 18.2 │     │ -1000 │ -4910000  │ 2006363.6  │ 3400363.6  │   -3100   │   -15334000   │  22070000   │  37404000   │  3.5  │ 1000 │ 4910000  │ 1.5 │      │         │     │
