┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼──────────┼─────┤
│    0    │ 11950 │ 11950 │ 11950 │ 11950 │ 200 │ 2390000 │    200    │   200   │ 2390000  │ 2390000  │ 1678094100000 │ '2023-03-06T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 400 │ 109.1 │ 18.2 │ 11  │   0   │     0     │ 4969090.9  │ 1311363.6  │     0     │       0       │      0      │      0      │   0   │      │          │     │     │          │     │
│    1    │ 12500 │ 12500 │ 12500 │ 12500 │     │         │    300    │   100   │ 1250000  │ 3640000  │ 1678094400000 │ '2023-03-06T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │  100  │  1250000  │ 4969090.9  │ 1311363.6  │    100    │    1250000    │   1250000   │      0      │  0.3  │ 100  │ 1250000  │ 0.3 │     │          │     │
│    2    │ 12500 │ 12500 │ 12500 │ 12500 │     │         │   1200    │   900   │ 11250000 │ 14890000 │ 1678094700000 │ '2023-03-06T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │  900  │ 11250000  │ 4969090.9  │ 1311363.6  │   1000    │   12500000    │  12500000   │      0      │  3.1  │ 900  │ 11250000 │ 2.3 │     │          │     │
│    3    │ 12500 │ 12500 │ 12500 │ 12500 │     │         │   1400    │   200   │ 2500000  │ 17390000 │ 1678095900000 │ '2023-03-06T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │  200  │  2500000  │ 4969090.9  │ 1311363.6  │   1200    │   15000000    │  15000000   │      0      │  0.7  │ 200  │ 2500000  │ 0.5 │     │          │     │
│    4    │ 12400 │ 12400 │ 12400 │ 12400 │     │         │   4300    │  2900   │ 35960000 │ 53350000 │ 1678098900000 │ '2023-03-06T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │ 2900  │ 35960000  │ 4969090.9  │ 1311363.6  │   4100    │   50960000    │  50960000   │      0      │  9.8  │ 2900 │ 35960000 │ 7.3 │     │          │     │
│    5    │ 12400 │ 12400 │ 12400 │ 12400 │     │         │   4400    │   100   │ 1240000  │ 54590000 │ 1678099500000 │ '2023-03-06T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 109.1 │ 18.2 │     │ -100  │ -1240000  │ 4969090.9  │ 1311363.6  │   4000    │   49720000    │  50960000   │   1240000   │ -0.3  │      │          │     │ 100 │ 1240000  │ 0.9 │
│    6    │ 11950 │ 12000 │ 11950 │ 12000 │     │         │   5300    │   900   │ 10765000 │ 65355000 │ 1678108500000 │ '2023-03-06T13:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 109.1 │ 18.2 │     │ -900  │ -10765000 │ 4969090.9  │ 1311363.6  │   3100    │   38955000    │  50960000   │  12005000   │ -2.9  │      │          │     │ 900 │ 10765000 │ 8.2 │
│    7    │ 12300 │ 12300 │ 12300 │ 12300 │     │         │   5400    │   100   │ 1230000  │ 66585000 │ 1678108800000 │ '2023-03-06T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │  100  │  1230000  │ 4969090.9  │ 1311363.6  │   3200    │   40185000    │  52190000   │  12005000   │  0.3  │ 100  │ 1230000  │ 0.3 │     │          │     │
│    8    │ 12350 │ 12350 │ 12350 │ 12350 │     │         │   5500    │   100   │ 1235000  │ 67820000 │ 1678110000000 │ '2023-03-06T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │  100  │  1235000  │ 4969090.9  │ 1311363.6  │   3300    │   41420000    │  53425000   │  12005000   │  0.3  │ 100  │ 1235000  │ 0.3 │     │          │     │
│    9    │ 12350 │ 12350 │ 12350 │ 12350 │     │         │   5600    │   100   │ 1235000  │ 69055000 │ 1678110300000 │ '2023-03-06T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 400 │ 109.1 │ 18.2 │     │  100  │  1235000  │ 4969090.9  │ 1311363.6  │   3400    │   42655000    │  54660000   │  12005000   │  0.3  │ 100  │ 1235000  │ 0.3 │     │          │     │
│   10    │ 12100 │ 12100 │ 12100 │ 12100 │     │         │   5800    │   200   │ 2420000  │ 71475000 │ 1678113900000 │ '2023-03-06T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 400 │ 109.1 │ 18.2 │     │ -200  │ -2420000  │ 4969090.9  │ 1311363.6  │   3200    │   40235000    │  54660000   │  14425000   │ -0.7  │      │          │     │ 200 │ 2420000  │ 1.8 │
