┌─────────┬─────┬─────┬─────┬─────┬──────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu │ rbu │
├─────────┼─────┼─────┼─────┼─────┼──────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────┼─────┤
│    0    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │ 6000 │ 53400000 │   6000    │  6000   │ 53400000 │ 53400000 │ 1675070700000 │ '2023-01-30T09:25:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 10  │ 390 │ 600 │ 10  │   0   │     0     │   89000    │  3471000   │     0     │       0       │      0      │      0      │  -0   │      │          │     │     │        │     │
│    1    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   6500    │   500   │ 4450000  │ 57850000 │ 1675071300000 │ '2023-01-30T09:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -500  │ -4450000  │   89000    │  3471000   │   -500    │   -4450000    │      0      │   4450000   │  1.3  │ 500  │ 4450000  │ 1.3 │     │        │     │
│    2    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   8700    │  2200   │ 19580000 │ 77430000 │ 1675072200000 │ '2023-01-30T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -2200 │ -19580000 │   89000    │  3471000   │   -2700   │   -24030000   │      0      │  24030000   │  5.8  │ 2200 │ 19580000 │ 5.6 │     │        │     │
│    3    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   8800    │   100   │  890000  │ 78320000 │ 1675072500000 │ '2023-01-30T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -100  │  -890000  │   89000    │  3471000   │   -2800   │   -24920000   │      0      │  24920000   │  0.3  │ 100  │  890000  │ 0.3 │     │        │     │
│    4    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   8900    │   100   │  890000  │ 79210000 │ 1675074300000 │ '2023-01-30T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -100  │  -890000  │   89000    │  3471000   │   -2900   │   -25810000   │      0      │  25810000   │  0.3  │ 100  │  890000  │ 0.3 │     │        │     │
│    5    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   9100    │   200   │ 1780000  │ 80990000 │ 1675075200000 │ '2023-01-30T10:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -200  │ -1780000  │   89000    │  3471000   │   -3100   │   -27590000   │      0      │  27590000   │  0.5  │ 200  │ 1780000  │ 0.5 │     │        │     │
│    6    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   9200    │   100   │  890000  │ 81880000 │ 1675075800000 │ '2023-01-30T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -100  │  -890000  │   89000    │  3471000   │   -3200   │   -28480000   │      0      │  28480000   │  0.3  │ 100  │  890000  │ 0.3 │     │        │     │
│    7    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   9300    │   100   │  890000  │ 82770000 │ 1675077000000 │ '2023-01-30T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -100  │  -890000  │   89000    │  3471000   │   -3300   │   -29370000   │      0      │  29370000   │  0.3  │ 100  │  890000  │ 0.3 │     │        │     │
│    8    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   9900    │   600   │ 5340000  │ 88110000 │ 1675083600000 │ '2023-01-30T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 390 │ 600 │     │ -600  │ -5340000  │   89000    │  3471000   │   -3900   │   -34710000   │      0      │  34710000   │  1.6  │ 600  │ 5340000  │ 1.5 │     │        │     │
│    9    │ 8.9 │ 8.9 │ 8.9 │ 8.9 │      │          │   10000   │   100   │  890000  │ 89000000 │ 1675089600000 │ '2023-01-30T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10  │ 390 │ 600 │     │  100  │  890000   │   89000    │  3471000   │   -3800   │   -33820000   │   890000    │  34710000   │ -0.3  │      │          │     │ 100 │ 890000 │ 10  │
└─────────┴─────┴─────┴─────┴─────┴──────┴──────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴────────┴─────┘

