┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬──────────┬──────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd  │ rsd │  bu  │  val_bu  │ rbu  │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼──────────┼──────┤
│    0    │ 5.28 │ 5.28 │ 5.28 │ 5.28 │ 100 │ 528000 │    100    │   100   │  528000  │  528000  │ 1675070040000 │ '2023-01-30T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 568.8 │ 50  │ 6.3 │ 15.9 │   0   │     0     │ 3058937.5  │   261875   │     0     │       0       │      0      │      0      │   0   │     │         │     │      │          │      │
│    1    │ 5.2  │ 5.2  │ 5.2  │ 5.2  │     │        │    300    │   200   │ 1040000  │ 1568000  │ 1675070160000 │ '2023-01-30T09:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 568.8 │ 50  │ 6.3 │      │ -200  │ -1040000  │ 3058937.5  │   261875   │   -200    │   -1040000    │      0      │   1040000   │  0.4  │ 200 │ 1040000 │  4  │      │          │      │
│    2    │ 5.2  │ 5.2  │ 5.2  │ 5.2  │     │        │    400    │   100   │  520000  │ 2088000  │ 1675070640000 │ '2023-01-30T09:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 568.8 │ 50  │ 6.3 │      │ -100  │  -520000  │ 3058937.5  │   261875   │   -300    │   -1560000    │      0      │   1560000   │  0.2  │ 100 │ 520000  │  2  │      │          │      │
│    3    │ 5.2  │ 5.2  │ 5.2  │ 5.2  │     │        │   1100    │   700   │ 3640000  │ 5728000  │ 1675072080000 │ '2023-01-30T09:48:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  700  │  3640000  │ 3058937.5  │   261875   │    400    │    2080000    │   3640000   │   1560000   │  1.3  │     │         │     │ 700  │ 3640000  │ 1.2  │
│    4    │ 5.2  │ 5.2  │ 5.2  │ 5.2  │     │        │   1400    │   300   │ 1560000  │ 7288000  │ 1675072440000 │ '2023-01-30T09:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  300  │  1560000  │ 3058937.5  │   261875   │    700    │    3640000    │   5200000   │   1560000   │  0.6  │     │         │     │ 300  │ 1560000  │ 0.5  │
│    5    │ 5.2  │ 5.2  │ 5.2  │ 5.2  │     │        │   1500    │   100   │  520000  │ 7808000  │ 1675072680000 │ '2023-01-30T09:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 568.8 │ 50  │ 6.3 │      │ -100  │  -520000  │ 3058937.5  │   261875   │    600    │    3120000    │   5200000   │   2080000   │  0.2  │ 100 │ 520000  │  2  │      │          │      │
│    6    │ 5.2  │ 5.2  │ 5.2  │ 5.2  │     │        │   1600    │   100   │  520000  │ 8328000  │ 1675072800000 │ '2023-01-30T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 568.8 │ 50  │ 6.3 │      │ -100  │  -520000  │ 3058937.5  │   261875   │    500    │    2600000    │   5200000   │   2600000   │  0.2  │ 100 │ 520000  │  2  │      │          │      │
│    7    │ 5.42 │ 5.42 │ 5.42 │ 5.42 │     │        │   1700    │   100   │  542000  │ 8870000  │ 1675072920000 │ '2023-01-30T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  100  │  542000   │ 3058937.5  │   261875   │    600    │    3142000    │   5742000   │   2600000   │  0.2  │     │         │     │ 100  │  542000  │ 0.2  │
│    8    │ 5.4  │ 5.4  │ 5.4  │ 5.4  │     │        │   2700    │  1000   │ 5400000  │ 14270000 │ 1675077000000 │ '2023-01-30T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │ 1000  │  5400000  │ 3058937.5  │   261875   │   1600    │    8542000    │  11142000   │   2600000   │  1.9  │     │         │     │ 1000 │ 5400000  │ 1.8  │
│    9    │ 5.4  │ 5.4  │ 5.4  │ 5.4  │     │        │   2800    │   100   │  540000  │ 14810000 │ 1675083600000 │ '2023-01-30T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  100  │  540000   │ 3058937.5  │   261875   │   1700    │    9082000    │  11682000   │   2600000   │  0.2  │     │         │     │ 100  │  540000  │ 0.2  │
│   10    │ 5.4  │ 5.4  │ 5.39 │ 5.4  │     │        │   8800    │  6000   │ 32399000 │ 47209000 │ 1675083720000 │ '2023-01-30T13:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │ 6000  │ 32399000  │ 3058937.5  │   261875   │   7700    │   41481000    │  44081000   │   2600000   │ 11.6  │     │         │     │ 6000 │ 32399000 │ 10.5 │
│   11    │ 5.4  │ 5.4  │ 5.4  │ 5.4  │     │        │   9200    │   400   │ 2160000  │ 49369000 │ 1675083960000 │ '2023-01-30T13:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  400  │  2160000  │ 3058937.5  │   261875   │   8100    │   43641000    │  46241000   │   2600000   │  0.8  │     │         │     │ 400  │ 2160000  │ 0.7  │
│   12    │ 5.4  │ 5.4  │ 5.4  │ 5.4  │     │        │   9400    │   200   │ 1080000  │ 50449000 │ 1675084920000 │ '2023-01-30T13:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  200  │  1080000  │ 3058937.5  │   261875   │   8300    │   44721000    │  47321000   │   2600000   │  0.4  │     │         │     │ 200  │ 1080000  │ 0.4  │
│   13    │ 5.41 │ 5.41 │ 5.4  │ 5.4  │     │        │   9600    │   200   │ 1081000  │ 51530000 │ 1675085640000 │ '2023-01-30T13:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  200  │  1081000  │ 3058937.5  │   261875   │   8500    │   45802000    │  48402000   │   2600000   │  0.4  │     │         │     │ 200  │ 1081000  │ 0.4  │
│   14    │ 5.3  │ 5.3  │ 5.3  │ 5.3  │     │        │   9900    │   300   │ 1590000  │ 53120000 │ 1675086600000 │ '2023-01-30T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 568.8 │ 50  │ 6.3 │      │ -300  │ -1590000  │ 3058937.5  │   261875   │   8200    │   44212000    │  48402000   │   4190000   │  0.6  │ 300 │ 1590000 │  6  │      │          │      │
│   15    │ 5.41 │ 5.41 │ 5.41 │ 5.41 │     │        │   10000   │   100   │  541000  │ 53661000 │ 1675089840000 │ '2023-01-30T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 568.8 │ 50  │ 6.3 │      │  100  │  541000   │ 3058937.5  │   261875   │   8300    │   44753000    │  48943000   │   4190000   │  0.2  │     │         │     │ 100  │  541000  │ 0.2  │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴─────┴─────┴──────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴──────┴──────────┴──────┘

