┌─────────┬───────┬───────┬───────┬───────┬──────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼──────────┼─────┤
│    0    │  11   │  11   │  11   │  11   │ 1000 │ 11000  │   1000    │  1000   │  11000   │  11000   │ 1675070100000 │ '2023-01-30T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 938.5 │ 7.7 │ 76.9 │ 13  │   0   │     0     │ 2534707.7  │  83846.2   │     0     │       0       │      0      │      0      │   0   │     │         │     │      │          │     │
│    1    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │        │   1100    │   100   │ 1090000  │ 1101000  │ 1675070700000 │ '2023-01-30T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 938.5 │ 7.7 │ 76.9 │     │ -100  │ -1090000  │ 2534707.7  │  83846.2   │   -100    │   -1090000    │      0      │   1090000   │ -0.4  │ 100 │ 1090000 │ 13  │      │          │     │
│    2    │  11   │  11   │  11   │  11   │      │        │   3100    │  2000   │  22000   │ 1123000  │ 1675071000000 │ '2023-01-30T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │ 2000  │   22000   │ 2534707.7  │  83846.2   │   1900    │   -1068000    │    22000    │   1090000   │   0   │     │         │     │ 2000 │  22000   │ 2.1 │
│    3    │  11   │  11   │  11   │  11   │      │        │   5000    │  1900   │  20900   │ 1143900  │ 1675073100000 │ '2023-01-30T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │ 1900  │   20900   │ 2534707.7  │  83846.2   │   3800    │   -1047100    │    42900    │   1090000   │   0   │     │         │     │ 1900 │  20900   │  2  │
│    4    │  11   │  11   │  11   │  11   │      │        │   5600    │   600   │   6600   │ 1150500  │ 1675073700000 │ '2023-01-30T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │  600  │   6600    │ 2534707.7  │  83846.2   │   4400    │   -1040500    │    49500    │   1090000   │   0   │     │         │     │ 600  │   6600   │ 0.6 │
│    5    │  11   │  11   │  11   │  11   │      │        │   7300    │  1700   │  18700   │ 1169200  │ 1675074000000 │ '2023-01-30T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │ 1700  │   18700   │ 2534707.7  │  83846.2   │   6100    │   -1021800    │    68200    │   1090000   │   0   │     │         │     │ 1700 │  18700   │ 1.8 │
│    6    │  11   │  11   │  11   │  11   │      │        │   7500    │   200   │   2200   │ 1171400  │ 1675077000000 │ '2023-01-30T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │  200  │   2200    │ 2534707.7  │  83846.2   │   6300    │   -1019600    │    70400    │   1090000   │   0   │     │         │     │ 200  │   2200   │ 0.2 │
│    7    │  11   │  11   │  11   │  11   │      │        │   8300    │   800   │   8800   │ 1180200  │ 1675084800000 │ '2023-01-30T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │  800  │   8800    │ 2534707.7  │  83846.2   │   7100    │   -1010800    │    79200    │   1090000   │   0   │     │         │     │ 800  │   8800   │ 0.9 │
│    8    │  11   │  11   │  11   │  11   │      │        │   8600    │   300   │   3300   │ 1183500  │ 1675085100000 │ '2023-01-30T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │  300  │   3300    │ 2534707.7  │  83846.2   │   7400    │   -1007500    │    82500    │   1090000   │   0   │     │         │     │ 300  │   3300   │ 0.3 │
│    9    │  11   │  11   │  11   │  11   │      │        │   10100   │  1500   │  16500   │ 1200000  │ 1675086000000 │ '2023-01-30T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │ 1500  │   16500   │ 2534707.7  │  83846.2   │   8900    │    -991000    │    99000    │   1090000   │   0   │     │         │     │ 1500 │  16500   │ 1.6 │
│   10    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │        │   13100   │  3000   │ 32850000 │ 34050000 │ 1675088100000 │ '2023-01-30T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │ 3000  │ 32850000  │ 2534707.7  │  83846.2   │   11900   │   31859000    │  32949000   │   1090000   │ 13.4  │     │         │     │ 3000 │ 32850000 │ 3.2 │
│   11    │  11   │  11   │  11   │  11   │      │        │   13200   │   100   │   1100   │ 34051100 │ 1675088700000 │ '2023-01-30T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │  100  │   1100    │ 2534707.7  │  83846.2   │   12000   │   31860100    │  32950100   │   1090000   │   0   │     │         │     │ 100  │   1100   │ 0.1 │
│   12    │  11   │  11   │  11   │  11   │      │        │   13300   │   100   │   1100   │ 34052200 │ 1675089900000 │ '2023-01-30T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 938.5 │ 7.7 │ 76.9 │     │  100  │   1100    │ 2534707.7  │  83846.2   │   12100   │   31861200    │  32951200   │   1090000   │   0   │     │         │     │ 100  │   1100   │ 0.1 │
└─────────┴───────┴───────┴───────┴───────┴──────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴──────┴──────────┴─────┘

