┌─────────┬──────┬──────┬──────┬──────┬───────┬────────────────────┬───────────┬─────────┬────────────────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬────────┬─────┬─────┬────────┬─────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  sd   │       val_sd       │ total_vol │ sum_vol │        val         │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd │ bu-sd  │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼─────┼────────┼─────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 25600 │     261120000      │   25600   │  25600  │     261120000      │ 261120000 │ 1675069200000 │ '2023-01-30T09:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │  8  │ -25600 │     -261120000      │     0      │  32470000  │  -25600   │  -261120000   │      0      │  261120000  │   8   │
│    1    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 4500  │      45900000      │   30100   │  4500   │      45900000      │ 307020000 │ 1675069500000 │ '2023-01-30T09:05:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 1.4 │ -4500  │      -45900000      │     0      │  32470000  │  -30100   │  -307020000   │      0      │  307020000  │  1.4  │
│    2    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 5700  │      58140000      │   35800   │  5700   │      58140000      │ 365160000 │ 1675069800000 │ '2023-01-30T09:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 1.8 │ -5700  │      -58140000      │     0      │  32470000  │  -35800   │  -365160000   │      0      │  365160000  │  1.8  │
│    3    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │  100  │ 1019999.9999999999 │   35900   │   100   │ 1019999.9999999999 │ 366180000 │ 1675070100000 │ '2023-01-30T09:15:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │  0  │  -100  │ -1019999.9999999999 │     0      │  32470000  │  -35900   │  -366180000   │      0      │  366180000  │   0   │
│    4    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 8100  │      82620000      │   44000   │  8100   │      82620000      │ 448800000 │ 1675070400000 │ '2023-01-30T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 2.5 │ -8100  │      -82620000      │     0      │  32470000  │  -44000   │  -448800000   │      0      │  448800000  │  2.5  │
│    5    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 5000  │      51000000      │   49000   │  5000   │      51000000      │ 499800000 │ 1675070700000 │ '2023-01-30T09:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 1.6 │ -5000  │      -51000000      │     0      │  32470000  │  -49000   │  -499800000   │      0      │  499800000  │  1.6  │
│    6    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │  200  │ 2039999.9999999998 │   49200   │   200   │ 2039999.9999999998 │ 501840000 │ 1675071600000 │ '2023-01-30T09:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 0.1 │  -200  │ -2039999.9999999998 │     0      │  32470000  │  -49200   │  -501840000   │      0      │  501840000  │  0.1  │
│    7    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 2300  │      23460000      │   51500   │  2300   │      23460000      │ 525300000 │ 1675071900000 │ '2023-01-30T09:45:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 0.7 │ -2300  │      -23460000      │     0      │  32470000  │  -51500   │  -525300000   │      0      │  525300000  │  0.7  │
│    8    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 1000  │      10200000      │   52500   │  1000   │      10200000      │ 535500000 │ 1675072200000 │ '2023-01-30T09:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 0.3 │ -1000  │      -10200000      │     0      │  32470000  │  -52500   │  -535500000   │      0      │  535500000  │  0.3  │
│    9    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │  100  │ 1019999.9999999999 │   52600   │   100   │ 1019999.9999999999 │ 536520000 │ 1675073400000 │ '2023-01-30T10:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │  0  │  -100  │ -1019999.9999999999 │     0      │  32470000  │  -52600   │  -536520000   │      0      │  536520000  │   0   │
│   10    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │ 1000  │      10200000      │   53600   │  1000   │      10200000      │ 546720000 │ 1675074600000 │ '2023-01-30T10:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 0.3 │ -1000  │      -10200000      │     0      │  32470000  │  -53600   │  -546720000   │      0      │  546720000  │  0.3  │
│   11    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │  100  │ 1019999.9999999999 │   53700   │   100   │ 1019999.9999999999 │ 547740000 │ 1675075500000 │ '2023-01-30T10:45:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │  0  │  -100  │ -1019999.9999999999 │     0      │  32470000  │  -53700   │  -547740000   │      0      │  547740000  │   0   │
│   12    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │  100  │ 1019999.9999999999 │   53800   │   100   │ 1019999.9999999999 │ 548760000 │ 1675076400000 │ '2023-01-30T11:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │  0  │  -100  │ -1019999.9999999999 │     0      │  32470000  │  -53800   │  -548760000   │      0      │  548760000  │   0   │
│   13    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │  300  │      3060000       │   54100   │   300   │      3060000       │ 551820000 │ 1675083600000 │ '2023-01-30T13:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3183.3 │  0  │ 0.1 │  -300  │      -3060000       │     0      │  32470000  │  -54100   │  -551820000   │      0      │  551820000  │  0.1  │
