┌─────────┬─────┬─────┬─────┬─────┬───────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬──────┬─────┬─────┬────────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c  │  h  │  l  │  o  │  sd   │  val_sd   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │ asd  │ auk │ rsd │ bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
│    9    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │ 1200  │  7560000  │   57000   │  1200   │  7560000  │ 359100000 │ 1675073400000 │ '2023-01-30T10:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │ 0.3 │ -1200  │  -7560000  │     0      │  22680000  │  -57000   │  -359100000   │      0      │  359100000  │  0.3  │
│   10    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │  200  │  1260000  │   57200   │   200   │  1260000  │ 360360000 │ 1675074300000 │ '2023-01-30T10:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │ 0.1 │  -200  │  -1260000  │     0      │  22680000  │  -57200   │  -360360000   │      0      │  360360000  │  0.1  │
│   11    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │ 3000  │ 18900000  │   60200   │  3000   │ 18900000  │ 379260000 │ 1675075200000 │ '2023-01-30T10:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │ 0.8 │ -3000  │ -18900000  │     0      │  22680000  │  -60200   │  -379260000   │      0      │  379260000  │  0.8  │
│   12    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │  500  │  3150000  │   60700   │   500   │  3150000  │ 382410000 │ 1675083900000 │ '2023-01-30T13:05:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │ 0.1 │  -500  │  -3150000  │     0      │  22680000  │  -60700   │  -382410000   │      0      │  382410000  │  0.1  │
│   13    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │  100  │  630000   │   60800   │   100   │  630000   │ 383040000 │ 1675085700000 │ '2023-01-30T13:35:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │  0  │  -100  │  -630000   │     0      │  22680000  │  -60800   │  -383040000   │      0      │  383040000  │   0   │
│   14    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │  100  │  630000   │   60900   │   100   │  630000   │ 383670000 │ 1675088400000 │ '2023-01-30T14:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │  0  │  -100  │  -630000   │     0      │  22680000  │  -60900   │  -383670000   │      0      │  383670000  │   0   │
│   15    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │  200  │  1260000  │   61100   │   200   │  1260000  │ 384930000 │ 1675088700000 │ '2023-01-30T14:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │ 0.1 │  -200  │  -1260000  │     0      │  22680000  │  -61100   │  -384930000   │      0      │  384930000  │  0.1  │
│   16    │ 6.3 │ 6.3 │ 6.3 │ 6.3 │  100  │  630000   │   61200   │   100   │  630000   │ 385560000 │ 1675089900000 │ '2023-01-30T14:45:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 3600 │  0  │  0  │  -100  │  -630000   │     0      │  22680000  │  -61200   │  -385560000   │      0      │  385560000  │   0   │
└─────────┴─────┴─────┴─────┴─────┴───────┴───────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴────┴──────────┴─────┴──────┴─────┴─────┴────────┴────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┘

