┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬────────┬─────┬──────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd   │ auk │ ruk  │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼────────┼─────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 5.87 │ 5.87 │ 5.87 │ 5.87 │ 100 │ 587000 │    100    │   100   │  587000  │  587000   │ 1675329240000 │ '2023-02-02T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 56.3 │ 1656.3 │ 6.3 │ 15.9 │   0    │     0     │   327125   │  9577625   │     0     │       0       │      0      │      0      │   0   │       │          │     │     │         │     │
│    1    │ 5.82 │ 5.82 │ 5.82 │ 5.82 │     │        │   1400    │  1300   │ 7566000  │  8153000  │ 1675329720000 │ '2023-02-02T09:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │ -1300  │ -7566000  │   327125   │  9577625   │   -1300   │   -7566000    │      0      │   7566000   │  0.8  │ 1300  │ 7566000  │ 0.8 │     │         │     │
│    2    │ 5.82 │ 5.82 │ 5.82 │ 5.82 │     │        │   1600    │   200   │ 1164000  │  9317000  │ 1675329840000 │ '2023-02-02T09:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │  -200  │ -1164000  │   327125   │  9577625   │   -1500   │   -8730000    │      0      │   8730000   │  0.1  │  200  │ 1164000  │ 0.1 │     │         │     │
│    3    │ 5.82 │ 5.82 │ 5.82 │ 5.82 │     │        │   1700    │   100   │  582000  │  9899000  │ 1675330080000 │ '2023-02-02T09:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │  -100  │  -582000  │   327125   │  9577625   │   -1600   │   -9312000    │      0      │   9312000   │  0.1  │  100  │  582000  │ 0.1 │     │         │     │
│    4    │ 5.82 │ 5.82 │ 5.82 │ 5.82 │     │        │   2200    │   500   │ 2910000  │ 12809000  │ 1675330680000 │ '2023-02-02T09:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 56.3 │ 1656.3 │ 6.3 │      │  500   │  2910000  │   327125   │  9577625   │   -1100   │   -6402000    │   2910000   │   9312000   │  0.3  │       │          │     │ 500 │ 2910000 │ 8.9 │
│    5    │ 5.82 │ 5.82 │ 5.82 │ 5.82 │     │        │   2400    │   200   │ 1164000  │ 13973000  │ 1675332120000 │ '2023-02-02T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 56.3 │ 1656.3 │ 6.3 │      │  200   │  1164000  │   327125   │  9577625   │   -900    │   -5238000    │   4074000   │   9312000   │  0.1  │       │          │     │ 200 │ 1164000 │ 3.6 │
│    6    │ 5.8  │ 5.8  │ 5.8  │ 5.8  │     │        │   2800    │   400   │ 2320000  │ 16293000  │ 1675332480000 │ '2023-02-02T10:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │  -400  │ -2320000  │   327125   │  9577625   │   -1300   │   -7558000    │   4074000   │  11632000   │  0.3  │  400  │ 2320000  │ 0.2 │     │         │     │
│    7    │ 5.78 │ 5.78 │ 5.78 │ 5.78 │     │        │   3200    │   400   │ 2312000  │ 18605000  │ 1675333200000 │ '2023-02-02T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │  -400  │ -2312000  │   327125   │  9577625   │   -1700   │   -9870000    │   4074000   │  13944000   │  0.2  │  400  │ 2312000  │ 0.2 │     │         │     │
│    8    │ 5.8  │ 5.8  │ 5.8  │ 5.8  │     │        │   3400    │   200   │ 1160000  │ 19765000  │ 1675337160000 │ '2023-02-02T11:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 56.3 │ 1656.3 │ 6.3 │      │  200   │  1160000  │   327125   │  9577625   │   -1500   │   -8710000    │   5234000   │  13944000   │  0.1  │       │          │     │ 200 │ 1160000 │ 3.6 │
│    9    │ 5.78 │ 5.78 │ 5.78 │ 5.78 │     │        │   18400   │  15000  │ 86700000 │ 106465000 │ 1675337280000 │ '2023-02-02T11:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │ -15000 │ -86700000 │   327125   │  9577625   │  -16500   │   -95410000   │   5234000   │  100644000  │  9.4  │ 15000 │ 86700000 │ 9.1 │     │         │     │
│   10    │ 5.78 │ 5.78 │ 5.78 │ 5.78 │     │        │   23300   │  4900   │ 28322000 │ 134787000 │ 1675342800000 │ '2023-02-02T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 56.3 │ 1656.3 │ 6.3 │      │ -4900  │ -28322000 │   327125   │  9577625   │  -21400   │  -123732000   │   5234000   │  128966000  │  3.1  │ 4900  │ 28322000 │  3  │     │         │     │
