┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu  │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼──────┤
│    0    │ 13.9  │ 13.9  │ 13.9  │ 13.9  │ 100 │ 1390000 │    100    │   100   │ 1390000  │  1390000  │ 1675329240000 │ '2023-02-02T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 105.9 │ 829.4 │ 5.9 │ 16.9 │   0   │     0     │ 1420294.1  │ 9470276.5  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │      │
│    1    │  13   │ 13.4  │  13   │ 13.4  │     │         │   3100    │  3000   │ 14564700 │ 15954700  │ 1675329960000 │ '2023-02-02T09:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -3000 │ -14564700 │ 1420294.1  │ 9470276.5  │   -3000   │   -14564700   │      0      │  14564700   │  1.8  │ 3000 │ 14564700 │ 3.6 │      │          │      │
│    2    │ 13.05 │ 13.05 │ 13.05 │ 13.05 │     │         │   6900    │  3800   │ 49590000 │ 65544700  │ 1675330200000 │ '2023-02-02T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -3800 │ -49590000 │ 1420294.1  │ 9470276.5  │   -6800   │   -64154700   │      0      │  64154700   │  6.2  │ 3800 │ 49590000 │ 4.6 │      │          │      │
│    3    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │     │         │   7000    │   100   │ 1330000  │ 66874700  │ 1675331760000 │ '2023-02-02T09:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -100  │ -1330000  │ 1420294.1  │ 9470276.5  │   -6900   │   -65484700   │      0      │  65484700   │  0.2  │ 100  │ 1330000  │ 0.1 │      │          │      │
│    4    │ 13.35 │ 13.35 │ 13.35 │ 13.35 │     │         │   7100    │   100   │ 1335000  │ 68209700  │ 1675332480000 │ '2023-02-02T10:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -100  │ -1335000  │ 1420294.1  │ 9470276.5  │   -7000   │   -66819700   │      0      │  66819700   │  0.2  │ 100  │ 1335000  │ 0.1 │      │          │      │
│    5    │ 13.4  │ 13.4  │ 13.4  │ 13.4  │     │         │   7200    │   100   │ 1340000  │ 69549700  │ 1675332600000 │ '2023-02-02T10:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -100  │ -1340000  │ 1420294.1  │ 9470276.5  │   -7100   │   -68159700   │      0      │  68159700   │  0.2  │ 100  │ 1340000  │ 0.1 │      │          │      │
│    6    │ 13.4  │ 13.4  │ 13.4  │ 13.4  │     │         │   7400    │   200   │ 2680000  │ 72229700  │ 1675333200000 │ '2023-02-02T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -200  │ -2680000  │ 1420294.1  │ 9470276.5  │   -7300   │   -70839700   │      0      │  70839700   │  0.3  │ 200  │ 2680000  │ 0.2 │      │          │      │
│    7    │ 13.4  │ 13.4  │ 13.4  │ 13.4  │     │         │   7700    │   300   │ 4020000  │ 76249700  │ 1675333440000 │ '2023-02-02T10:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -300  │ -4020000  │ 1420294.1  │ 9470276.5  │   -7600   │   -74859700   │      0      │  74859700   │  0.5  │ 300  │ 4020000  │ 0.4 │      │          │      │
│    8    │ 13.2  │ 13.4  │ 13.2  │ 13.4  │     │         │   13700   │  6000   │ 79445000 │ 155694700 │ 1675333800000 │ '2023-02-02T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -6000 │ -79445000 │ 1420294.1  │ 9470276.5  │  -13600   │  -154304700   │      0      │  154304700  │  9.9  │ 6000 │ 79445000 │ 7.2 │      │          │      │
│    9    │ 13.4  │ 13.4  │ 13.4  │ 13.4  │     │         │   14000   │   300   │ 4020000  │ 159714700 │ 1675342800000 │ '2023-02-02T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 105.9 │ 829.4 │ 5.9 │      │  300  │  4020000  │ 1420294.1  │ 9470276.5  │  -13300   │  -150284700   │   4020000   │  154304700  │  0.5  │      │          │     │ 300  │ 4020000  │ 2.8  │
│   10    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │     │         │   14100   │   100   │ 1330000  │ 161044700 │ 1675344480000 │ '2023-02-02T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 105.9 │ 829.4 │ 5.9 │      │ -100  │ -1330000  │ 1420294.1  │ 9470276.5  │  -13400   │  -151614700   │   4020000   │  155634700  │  0.2  │ 100  │ 1330000  │ 0.1 │      │          │      │
│   11    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │     │         │   14200   │   100   │ 1330000  │ 162374700 │ 1675344720000 │ '2023-02-02T13:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 105.9 │ 829.4 │ 5.9 │      │  100  │  1330000  │ 1420294.1  │ 9470276.5  │  -13300   │  -150284700   │   5350000   │  155634700  │  0.2  │      │          │     │ 100  │ 1330000  │ 0.9  │
